stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.28,0,0,0,8.49,3.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.41,5.5,0,0,15.98,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0.91,14.11,0,0,0,0,0,0,7.3,0,0,0,0
 24-34,0,0.74,0,0,1.2,0,0,0,1.99,0,0,0,0,0,0,9.04,0,0,0.68,122.02,0.68,3.08,1.17,0,0,0,27.53,0,0,0,0
 36-46,0,1.41,0,0,10.21,0,0,0,4.57,0,0,0,0,1.55,0,10.59,0,0,0.78,318.41,1.24,3.55,0,0,10.42,0,58.16,0,0,0,1.27
 48-58,0,0,0,0,25.42,0,0,0.5,29.41,0,0.58,0,0,0.8,0,21.89,0.65,0,1.44,437.62,0,0.68,0.38,0,2.24,0,69.91,0,0.76,0,6.02
 60-70,0,0,0,0,51.25,0.81,0,1.53,11.34,0,0,0,0,0,2.64,7.09,0,0,3.07,517.39,0,1.16,1.23,0,0,0,68.6,0,0,0,0
 72-82,0,2.31,0,0,32.23,0,0,0,18.55,0,0,1,0,0,5.13,10.07,0,0,0,291.16,3.83,7.93,0.52,0,0,0,35.69,0,0,0,0
 84-94,0,0,7.01,0,45.61,0,0,0.57,10.81,0,0,0.86,0,0,0,11,0,0,0,196.99,1.18,1.46,0,0,8.68,0,26.89,0,0,0,0
 96-106,0,0,8.37,0,16.43,0,0,0,23.14,0.73,0,0,1.17,0,1.67,8.38,0,0,0,171.69,0,5.58,1.34,0,3.42,0,32.94,1.27,0,1,0
108-118,0,1.77,0,0.64,37.43,0,0.6,0,16.24,0,0,0.98,0,0.7,2.65,10.8,0,0.92,0,216.71,0,2.51,0.53,0,0,0,13.33,0,0.56,0,0
120,0,0,0,0,58.57,0,0,0,48.32,0,1.19,0,0,0,0,9.54,0,0,11.43,321.81,0,8.76,0,0,0,9.01,32.01,0,0,0,0
