stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.09,169.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,80.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.88,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,40.11,5.38,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,8.83,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,3.99,0,0,3.32,20.32,3.07,0,0,0,0,0,1.7,0,1.82,11.8,0,0,0,0,0
 24-34,0,0,0.61,0,3.11,1.53,5.12,0,0,0,0,2.59,0.68,1.5,1.69,0,0.68,0,0,22.94,0,0,6.97,298.46,8.36,5.8,35.11,0,0,0,0,0,0,94.37,0,0,1,0,0
 36-46,0,0,0,0,3.18,5.75,14.01,0,0,16.68,0,2.54,0,0.98,0,0,0,0,0,12.98,0,1.72,2.25,695.78,0,7.41,46.89,0,0,0.73,0,0,0,148.52,0,0,0,0,0
 48-58,0,0,0,0,1.84,5.29,86.52,0,0,87.62,0,5.8,0,0.9,0,0,6.7,0,0,27.66,1.05,0.58,0.95,1093.82,0.51,9.05,62.93,0,0,1.62,0,0,0,206.76,0,0,1.27,0,1.51
 60-70,0,0,0,0,14.32,0.58,177.82,0,8.38,110.5,0.85,10.7,0,0.59,0,0,19.99,0,0,32.67,0.85,10.5,9.64,1375.45,1.87,2.71,83.32,0,0,0,0,0,0,161.28,0,0,1.48,0,3.92
 72-82,0,0,0.49,0,4.26,4.05,187.97,0,2.14,113.24,1.85,0.58,0,20.42,0,2.8,47.82,1.24,0.87,68.5,1.71,13.44,0.62,1317.27,0,9.07,164.34,0,2.17,3.53,0,2.8,0,122.41,0,0,3.29,2.08,0
 84-94,0,0,0,0,1.68,3.25,170.8,0,3.66,112.55,3.66,7.25,0,14.02,0.91,0,38.64,0,0,39.75,1.93,1.18,0,847.94,0.67,5.98,195.96,0,2.48,1.37,0,0,0,94.42,0,15.25,0.97,1.13,8.03
 96-106,0,0,0,0,2.75,1.32,137.72,2.25,0,107.21,10.59,2.12,0,6.24,0,2.1,82.87,0,0,23.96,2.61,1.76,0,787.49,0,8.37,238.87,0,0,8.76,0,0,0,49.83,0,1.34,4.5,0.92,0
108-118,0,0,3.38,0.74,11.11,0,110.69,0,1.17,109.49,9.36,0,0,5.83,0,6.32,42.54,0,0,39.65,2.55,0,0.92,1023.39,0,1.95,226.66,0,2.78,0.79,0,0.59,0,42.5,2.01,6.37,2.91,0,0
120,0,0,0,0,5.56,0,250.66,0,0,216.11,1.62,0,0,6.45,0,1.01,82.09,0,0,68.23,0,0,7.36,1847.14,4.99,5.77,273.16,0,0,7.86,0,0,0,100.86,0,0,0,3.35,0
