stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,378.13,10138.92,0,0,0,0,0,0,0,0,0,0,0,0,421.88,0,0,0,0,0,0,0,0
  5-6,258.76,2923.43,0,0,0,0,18.8,0,0,0,0,107.62,0,7.5,64.71,0,0,0,0,0,0,0,0
  7-9,3.75,10.92,27.02,0,14.8,0,10.96,0,0,0,0,203.95,5.05,48.82,0,16.56,0,0,0,0,0,0,0
 10-12,0,4.6,4.42,0,11.96,0,0,0,0,0,0,59.26,0,0,0,23.64,0,4.64,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0.91,4.11,0,0,0,1.1,2.02,0,1.53,1.01,0,0,0.91
 24-34,0,0,0,0,0.61,0.66,0,0,0,0.75,1.09,7.4,0,0,0.7,0,0,0,0,0,3.98,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,8.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.66,1.12,0,0,0.67,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.59,0,0,0,0,0.58,1.82,0,2.87,0,0,0,0,0,0,0,0,0,2.72,0
 96-106,0,0,0,0.6,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0
