stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.97,319.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0,0
  5-6,26.83,370.12,0,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,3.31,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,6.95,0,0,18.33,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.92,0,0,0,4.05,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,34.89,24.84,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.54,1,14.96,3.5,0,3.92,0,0,0,0,0,2.12,1.26,0,2.88,0,0,0,0,3.68,0,0,0.91,24.72,1.14,0,0,0,0,35.93,0,4.35,0,1.03,6.4,19.45,0,0,0,0
 24-34,0,0,1.92,0,9.08,0,0,10.21,0,0,0,2.68,0.64,0,2.97,0.87,8.99,0,0,0,7.07,4.38,0,0,1.78,86.25,0.61,6.78,0,0,0,36.88,0,0,0.66,0,2.92,13.92,0,0,0,0.62
 36-46,0,0,3.81,0,4.39,0,0,7.67,11.67,0,0.64,8.23,0,0,0,0,3.27,0,0.61,0,0,4.29,0.68,0,34.05,153.12,0,5.81,1.19,0,0,80.98,0,0,0.58,0,0,32.43,0,0,0,14.98
 48-58,0,0,0,0,7.41,0,0,50.21,1.61,6.59,6.99,13.22,2.87,0,0,0,12.58,0,0.42,2.86,7.35,6.56,1.01,0,2.52,153.41,1.1,0.93,0,0,0.45,42.74,0,0,0,2.21,0,29.65,0,0,0,6.06
 60-70,0,0,0,0,16.36,0,0,121.25,5.81,0.9,7.25,21.47,0,0,0,0,1.28,3.59,0.63,11.21,0,16.19,0,0,0,176.3,0,5.77,0,0,0,53.03,0,0,0.97,0,0,40.5,0,0.87,0,10.2
 72-82,0,0,3.71,0,5.44,8.25,0,146.79,0,0.5,3,51.58,0.49,1.14,0,0,0.63,0,7.09,0,0,45.44,2.11,0,2.61,190.42,0.56,4.38,0.99,0,6.29,61.98,0,0,0,0,0,29.04,0,0,0,0
 84-94,0,0,0,0,25.27,12.21,0,218.63,0,1.75,4.22,39.79,1.98,0,1.66,0.67,5.78,0,3.01,0,0,28.44,0,6.77,5.17,150.9,2.61,8.12,4.38,0,0,131.56,0,0,1.53,0,0,19.29,0.66,1.04,0,0
 96-106,0,0,19.53,0,29.71,2.06,0.59,261.34,9.61,1.35,8.7,85.14,3.81,0,0,2.01,5.36,0,5.57,1.08,0,51.44,9.25,0.75,2.3,194.18,0.57,5.67,4.88,0,0,142.69,0,0,0.7,0.84,0,8.87,1.93,8.42,0.69,5.68
108-118,0,0,13.11,0,47.35,0,2.1,279.39,0,3.76,10.01,93.78,8.74,0,0.64,1.45,10.73,1.32,1.48,7.74,4.08,104.33,4.66,0.51,1.43,275.9,1.28,12.19,16.03,0,0,139.6,0,0,0,5.01,0,34.18,5.84,8.11,2.09,1.27
120,0,0,5.26,0,48.58,1.38,0,403.72,0,7.57,31.67,165.7,11.74,0,28.86,8.87,5.67,1.91,15.31,0,0,138.3,2.14,43.95,0,383.47,3.59,27.92,5.4,0,23.68,171.26,0,0,7.48,5.17,0,15.2,3.65,17.88,0,0
