stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,42.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.25,0,0,3.95,0,0,0,0,0,0,0,0,0,25.95,0,0,5.39,0,0,0,0,0,0,0
 10-12,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,43.87,0,0,18.42,0,0,0,0,0,0,0
 14-21,0,0,1.75,0,0.96,0,0,0,0,0,0,0,0,0,6.09,0,1.07,0,0,1.3,0,3.4,0,0,0
 24-34,0,0,1.95,1.07,5.28,0,0.66,0,2.53,0,0,0,0.86,0.86,23.44,0.77,0,0,4.5,0,0.61,0,2.9,1.2,0
 36-46,0,0,0.78,0,0,0.67,0,0,0,0,0,0,0,0,5.04,0,0,0,7.44,0,0,0,0,0,0
 48-58,0,0,0,0,0.51,0,0,0,0,0,0,0,1.3,0,3.8,0,0,0,0.7,0,3.35,0,0,0,0
 60-70,0,0,0,0,7.66,0,0,0,0,0,0.72,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0.72,0,0,0,8.32
 84-94,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0
 96-106,0,0,0.6,0,1.15,0,0,0,0,0,0,0,1,0,1,0,0,0,13.74,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.41,2.02,0,0,0,0,0,3.28,0,0,0,0,0,0
120,0,0,0,0,7.09,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.47,0,0,0,0,0,0
