stage,eye,fin_epithelia,glial,hatching_gland,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  7-9,4.01,0,0,4.98,0,0,3.41,0,0,4.15,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.35,0,0,0
 14-21,1.19,0,0,0,1.63,0,2.29,0,0,0,0,0,0
 24-34,0,0,0,0,0.61,0,3.45,0,0.69,0,0,3.27,0
 36-46,5.54,0,0,0,0,0,4.11,0.58,0,0,0,0,0
 48-58,0,0,2.23,0,2.06,0,1.34,0,0,0,0,0,0
 60-70,0,0,2.38,0,0,0,0,0,0,0,0,0,0
 72-82,0.73,0,4.32,0,3.94,0,0,1.45,0,0,0,0,0
 84-94,2.06,0,0,0,0,0,0.63,0,0,0,0,0,0
 96-106,2.29,0,0,0,7.87,1.41,2.8,0.61,0,0,0,0,0
108-118,0.71,0.54,3.74,0,2.77,0,0,0.61,0,0,0.76,0,0.72
120,4.36,0,3.24,0,0,0,0,0,0,0,0,0,0
