stage,blastomeres,epidermis,eye,gut,immune,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pgc,vasculature
  3-4,43.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0
 14-21,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.79,0,3.05,0,0,0,0.66,0,0,0,0,0
 36-46,0,0,0,0,5.5,0,0,0,0.64,0,0,0,1.61,0
 48-58,0,0,1.73,0,0.4,0,0,0,0.61,0,0,0,0,0
 60-70,0,0,0,0,4.33,0,0,0,1.8,0,0,0,0,0
 72-82,0,0.49,0,1.34,0.54,0,0.83,0,1.76,0,0,5.34,0,0
 84-94,0,0,0,0.66,5.25,0,0,0,0,0,0,0,0,4.44
 96-106,0,0,0,3.75,18.09,0,2.21,4.78,8.47,0.59,0,5.6,0,0
108-118,0,1.99,0.5,5.7,8.19,0.88,1.36,0,7.55,0,0,7.38,0,1.17
120,0,4.45,0,9.74,11.12,0,0,0,3.42,1.85,0,4.67,0,0
