stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.27,348.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.76,191.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,10.34,0,0,98.58,0,0,0,0,0,70.18,0,0,0,0,0,0,0,0,0,0,0,215.02,22.53,0,0,28.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.35,0,38.94,0,0,32.03,0,0,0,0,0,53.92,0,0,0,0,0,0,0,0,0,0,0,321.45,3.65,0,0,88.38,0,8.5,0,8.56,0,5.3,0,0,0,0,0,0
 14-21,0,0,2.25,0,2.45,1.85,4.83,0,0,0,1.02,0,0.87,0,0,0,0,0,0,0,5.35,0,0,0.84,333.77,0,0,0,0,5.58,0,8.15,0,0,11.72,211.07,0,0,0,0,0
 24-34,0,0,0.8,0,4.07,3.05,39.28,0,1.14,0.61,16.32,1.31,0,0,0,2.29,0,0,0,0,13.61,0,0,4.39,2247.59,0.75,15.31,1.38,0,3.25,0,0,0,0,6.69,448.02,0,0,0,0,0
 36-46,0,0,0,0,2.06,0,46.75,1.13,0,0,31.34,0,0,0,0,0,0,0,0,4.51,6.71,0,0.89,1.5,4584.05,0.92,16.31,5.52,0,9.83,0,0,0,0,0,787.01,0,0,4.49,0,1.57
 48-58,0,0,0,0,9.04,0.65,246.42,0,2.94,0.58,64.87,0,0.54,0,0,0,0.83,0.44,0,0.83,36.21,1.21,0,4.72,4088.56,0.57,5.7,0,0,6.85,0,0,0,0.47,0,565.27,0,0,5.86,0,22.91
 60-70,0,0,0.57,0,12.85,0.67,306.21,0,0,2.25,40.75,0,0,0.79,0,0,4.57,0,0,8.52,27.72,1.83,0,3.98,3679.05,0,8.85,0.87,0,4.56,0,0,2.11,0,0,312.72,0,0,3.04,0,0
 72-82,0,0,2.26,0,19.02,21.03,374.64,0,0,0,33.65,0,0,0,2.95,0,1.53,0,0,0,27.29,0,8.58,4.59,2584.26,0,4.55,0,0,3.33,0,0,0,0,0,198.17,0,0.51,0.99,1.27,4.34
 84-94,0,0,0,0,5.83,0,282.6,0,0,2.72,30.01,0.6,0.91,0,1.39,0,0.55,2.09,2.11,0,42.79,0,1.32,4.31,1810.61,0,5.78,0.69,0,7.79,0,0,0,0,0,135.99,5.42,0.58,0,0.89,0
 96-106,0,0,0,0,17.06,1.96,178.41,0,0,0.64,41.88,1.38,0,0,0.58,0,0,0,0,0,15.92,0,0,0.57,1301.34,0,9.08,0,0,11.39,0,0,0.62,0.66,0,83.02,0,0,2.21,1.22,0
108-118,0,0,0.54,0.49,28.38,10.38,125.67,5.38,0.51,1.19,39.32,2.46,0,0,0,0,0,0,2.98,1.8,23.91,0.54,4.11,3.94,1898.05,0,4.17,0,0,9.91,0,0,0.48,0,0,31.51,0,1.18,2.7,0,1.57
120,0,0,0,0,13.79,2.59,260.32,1.91,0,0,47.83,1.09,0,0,8.24,0,0,4.16,0,0,66.57,0,0,1.04,2189.21,0,4.68,4.51,0,8.73,0,0,5.58,0,0,59.68,0,0,0,0,2.59
