stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.45,103.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.79,7.89,0,9.09,0,0,0,16.68,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,124.14,4.44,0,0,56.08,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.25,0,24.86,0,0,0,6.37,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,227.93,3.39,0,0,54.41,0,0,0,17.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.9,9.79,7.33,0,8,0,0,0,2.16,0,0,0,0,51.45,0,0,0,13.55,1.44,0,6.85,49.69,11.6,0.98,0,0,2.01,0,15.95,1.72,4.46,6.97,15.69,0,0,1.09,0,0
 24-34,0,0,0,0.76,11.55,2.05,0,7.68,0,1.41,0.62,2.25,0,0,3.23,7.69,102.74,0.83,0,0,14.95,3.59,0,3.83,107.77,2.27,2.1,2.1,0,16.44,0.98,0,0,0.7,0.63,19.38,0,0,0.79,0,0
 36-46,0,0,0,0,14.35,0,0,19.64,0,0,0,28.64,0,0,0,20.66,115.74,0,0,0,16.51,4.21,0,0.71,89.97,0,8.09,0.61,0,9.75,0,0,0,0,0,17.79,0,0,2.9,0,0
 48-58,0,0,0,0,37.74,0,0,27.07,0,11.59,0,104.29,0,0,0,30.55,28.84,4.49,0,0,15.6,1.49,0,6.6,73.18,0,0,0.37,0,19.25,0,0,0,0,0,14.29,0,0,0.5,0,1.57
 60-70,0,0,0,0,40.09,3.24,0,51.22,3.43,6.45,1.84,135.33,3.25,0,0,15.18,51.81,0,1.52,0,10.98,4.1,0,0,72.75,0,1.5,0.59,0,9.57,0,0,0,0,0,1.95,0,0,1.03,0,0
 72-82,0,0,2.1,0,50.17,0.65,0,45.19,0,7.03,5.1,166.53,0,0,0,28.68,47.78,5.38,0,0.96,16.17,0.77,0,0,50.36,0,0.53,1.35,0,11.22,0,0,0.57,0,0,1.56,2.26,0.49,7.53,0,7.99
 84-94,0,0,0,0,81.99,2.9,0,64.65,0,14.83,0,96.38,0,0,0,64.61,79.24,0.86,1.43,0,23.95,3.83,0,1.79,69.91,0,2.85,3.5,0,28.07,0,0,0,0,0,8.01,2.66,0,1.37,2.61,0.73
 96-106,0,0,0,0,113.76,8.87,0,35.03,0,8.32,1.12,146.35,3.75,0,0,56.9,65.71,3.02,1.17,0,25.28,1.89,0,0,71.58,0.6,3.28,1.63,0,37.53,0,0,0,0,0,0,4.45,1.82,2.85,0,0.85
108-118,0,0,1.03,0,147.82,4.49,1.87,70.61,0.44,31.39,1.49,193.25,3.03,0,0,59.85,78.95,1.03,0.89,0.93,17.43,3.57,1.3,1.89,44.22,0,2.36,1,0,16.1,0,0,1.39,0.49,0,2.79,3.18,0,8.47,0,2.01
120,0,0,0,0,200.09,1.69,0,35.24,0,21.11,0,322.16,1.79,0,0,121.82,44.2,0,0,0,24.23,0,0,0,77.35,0,0,3.5,0,12.63,0,0,0,2.35,0,0,6.96,0,11.15,0,0
