stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.74,1887.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.89,0,0,0,0,0,0,0,0,0
  5-6,6.98,224.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.81,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
  7-9,7.63,0,0,7.32,0,0,0,14.77,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,121.94,6.25,0,0,13.8,3.26,30.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,19.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.23,3.1,0,0,26.37,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.34,13.06,0,5.23,0,0,0,4.03,0,0,0,0,0,0,0,0,0,2.73,0,0,4.07,51.96,0,0,0.89,0,5.76,6.09,2.64,9.18,10.48,0,0,14.95,0,0
 24-34,0,0,0,0,2.3,0.62,0,11.98,0,0,0.79,3.86,0,0,2.66,0,0,0,1.58,0,0,3.58,0,0,2.94,67.64,0,0,1.06,0,10.7,0.86,11.81,1.32,9.24,0,0,93.42,0,2.31
 36-46,0,0,0,0,4.99,0,0,8.67,0,0,0,18.38,0,0,0,0.81,0,0,0,0,0,5.07,0,1.94,4.6,47.27,0,0,0,0,0.73,1.49,2.95,0,5.3,0,0,77.51,0,1.44
 48-58,0,0,0,0,3.66,3.61,0,54.24,0,3.06,0.94,61.13,2.4,0,4.41,0,0.8,0.56,0.37,0,0.91,23.44,0,0.4,0.93,82.4,0,0,1.05,0,1.29,0,0.54,0,22.77,0,0,105.36,0,4.36
 60-70,0,0,0,0,1.33,4.47,0,43.45,2.04,14.83,0.93,203.67,2.78,0,0.75,0,0,0,0.88,0,0,32.86,0,0.98,8.13,102.14,1.28,0,0,0,6.32,0,1.08,0,34.61,0,0,101.69,0,0
 72-82,0,0,0,0,3.69,15.14,0,73.88,0,9.82,1.53,386.96,2.77,0,2.32,3.38,0,0,1.41,1.57,0,45.65,1.2,0,1.22,127.46,0,3.73,2.69,0,7.32,0,0.57,0,20.17,5.88,2.35,165.26,0.84,2.33
 84-94,0,0,0.81,0,5.49,56.95,4.21,58.82,0,1.29,0,294,3.57,0,0,1.16,0,0.76,1.35,0,1.74,73.9,0.61,0,0.65,108.41,0.67,2.88,4.29,0,1.96,0,3.88,0,9.36,2,1.13,174.5,0.68,0
 96-106,0,0,1.78,0,4.51,30.17,0,38.65,0,1.21,6.91,344.29,6.29,0,1.5,3.97,0,0,0.65,0,3.42,46.14,0,1.86,1.91,95.73,0,0.6,1.67,0,4.1,0,5.47,0,20.63,1.23,0.62,214.71,1.44,0
108-118,0,0,3.53,0.74,14.34,29.74,5.46,42.31,0,4.51,2.71,379.48,13.04,0,3.56,2.45,0.42,0.54,1.55,1.88,2.69,69.25,0,2.01,1.86,142.91,0,1.52,4.21,0,8.73,0,3.12,0,25.47,2.18,3.19,138.33,1.8,2.79
120,0,0,12.99,0,28.68,11.11,0,57.84,1.18,11.54,13.1,288.34,0,0,9.65,0,0,0,0,0,0,88.26,0,0,14.16,162.88,4.65,0,1.1,0,2.35,0,10.53,0,16.64,0,0,192.36,0,0
