stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.21,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.72,0,0,6.18,0,35.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.47,0,0,0,53.74,0,0,4.8,0,19.4,0,4.93,0,0,0,0,0,0
 14-21,0,0,2.66,475.54,3.78,0,6.52,0,0,0,1.2,0,0.86,4.43,0,1.01,0,0,0,159.68,0.86,0,168.18,66.44,11.1,1.08,0,0,0,0,0,13.23,0,0,16.21,30.05,0,0,0,0,0
 24-34,0,0,2.65,585.06,3,0,17.52,0,8.25,4.66,5.93,0.68,0,19.27,0,1.45,2.53,5.38,0,650.93,6.1,13.98,441.03,233.5,77.34,0,5.18,0,0.99,4.84,0,0,6.25,10.23,4.09,61.2,0,0,9.75,0,0
 36-46,0,0,0,224.78,0,0,11.72,0,17.7,8.93,6.03,0,0,8.63,0,0,0.7,0,0,610.92,0,47.86,199.87,214.35,64.04,0,6.24,0,4.97,1.12,0,0,0,1.69,0,34.9,0,1.37,2.21,0,1.8
 48-58,0,0,0,132.33,0,0,44.76,0,17.43,13.96,5.92,0,0,2.55,1.16,0,1.14,0,0,376.57,0,80.5,103.37,426.01,35.97,0,1.56,0,4.39,0,0,0,0,0,0,19.79,0,2.19,0.47,0.78,2.73
 60-70,0,0,0,104.48,0,0,95.23,0,16.69,9.46,4.49,0,0,3.11,10.35,0,0,0,0,258.95,0.57,81.34,47.94,475.76,10.64,0,4.98,0,2.69,2.62,0,0,0,0,0,0,0,5.24,1.08,3.33,0
 72-82,0,0,0,41.53,3.82,0,111.58,0,14.73,9.74,5.59,0,0,2.79,0,0.53,0,0,0,216.3,0,51.05,31.97,381.7,0,0,2.13,0,3.06,1.48,0,0,0,0,0,8.91,0,4.68,0.65,5.7,0
 84-94,0,0,0,94.72,0,0,80.76,0,14.34,5.08,6.62,0,0,6.64,0.66,0,3.2,0,5.75,119.41,1.42,91.28,31.92,226.15,1.31,0.61,4.99,0,0,0.72,0,0,0,0.6,0,0,0.55,11.35,0,0,0
 96-106,0,0,0,56.74,0,0,79.97,0.68,7.77,4.97,1.73,0,0,7.01,0,0.93,0,0,0,139.05,0,47.37,19.2,163.51,0.6,1.03,3.72,0,1.44,2.12,0,0,0,0,0,0,0,1.88,0,3.46,0
108-118,3.02,0,0,67.11,0,2.29,67.29,0,17.23,5.67,8.05,1.91,0,1.01,1.75,0,0.56,1.32,0,121.83,0.93,34.49,16.29,222.92,0.44,1.05,4.17,0,0,3.12,0,0,0,0,0,0,0,2.04,0,5.99,0
120,0,0,0,93.69,1.34,0,53.6,0,8.05,0,29.77,0,0,0,0,0,0,0,0,113.32,0,20.26,2.74,320.32,0,3.22,7.11,0,0,0,0,0,0,0,0,5.94,0,0,4.29,0,0
