stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,3.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,8.65,0,0,0,0,0,5.08,5.57,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.68,0.63,0,0,0.96,0,0,2.71,34.07,0,0,0,0,0,0,5.31,0,0,0,2.13
 36-46,0,0,0,7.27,0,0.95,0,0,0.6,0,1.14,0.83,0,0,0,57.55,4.05,0,0,0,0,0,7.79,0,1.34,0,1.04
 48-58,0,3.29,0,16.3,2.61,0,0.66,0,0,0,0,0,0,0,0,30.02,0,0,0,0,0,0,5.27,0,0,0,0
 60-70,0,0,0,18.84,0,0,14.02,0,0,0,0,0.56,0,0,0.92,41.9,0,0,0,0.6,0,0,9.19,0,0,0,0
 72-82,0,0,0,20.95,0,0,11.37,0,0,0,0,6.7,1.06,1.97,0.56,34.18,0,0,0,2.71,3.73,0,12.82,0,0,1.51,0
 84-94,0,0,0.93,10.99,0,0,0.99,0.55,0,0,0,3.26,0,0,0,6.56,0,0,0,0,0,0,7.19,0,2.74,0,0
 96-106,0,0,0,0.76,0,0,5.53,0.66,0,0,0,0.62,0,0,0,8.66,0,0.57,0,2.72,0,0,0,0,1.99,0,0
108-118,0,0.44,0,6.58,0,0,2.05,0,0,0.64,0,2.51,0,0,0,34.51,0,0,0,0,0,0,9.19,1.74,0,0,0
120,0,0,0,1.11,0,0,10.12,0,1.05,0,0,0,0,0,0,54.89,9.53,3.91,0,3.94,0,0,9.43,0,0,0,0
