stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.06,63.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,138.16,0,0,0,0,0,0,10.32,0,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,28.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.94,0,0,0,37.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.76,1.65,0,14.88,0,0,0,0,0,1.17,0,0,24.58,0.9,0,0,0,0,0,2.22,4.72,1.7,22.99,0,0,0,0
 24-34,0,0,0,0.68,2.72,0,9.89,0,0,0,0.72,0,5.14,0,1.64,39.69,0,4.68,1.55,0,0,0,0,4.08,1.35,15.19,0,0,1.77,0
 36-46,0,0,0,0,1.53,0,3.05,0,0,0,0,0,0.89,0,0,24.21,0,24.76,2.03,0,0,0,0,29.25,0,13.86,0,0,1.43,0
 48-58,0,0,0,3.29,6.8,0,4.89,0,0,0,1.66,0,0.9,0,0.63,20.19,0,18.41,6.9,0,0,0,0,9.03,0,21.69,0,0,0,0
 60-70,0,0,0,2.01,9.48,0,5.64,0,0,0,2.72,0,1.06,4.68,0.65,50.77,0,24.53,4.9,0,0,3.12,0,8.95,0,8.3,0,0,0,0
 72-82,0,0,0,3.57,11.26,0,44.72,0,0,0.71,2.61,0,7.39,0,0,66.79,0,153.77,6.73,0,0,0,0,0,0,22.3,0,0,0,0
 84-94,0,0,0,1.01,9.72,6.8,12.77,0,0,0,0.9,0,3.26,0,0,48.37,0,46.16,15.99,0,0.6,0,0,0,0,17.05,1.17,0,0,0
 96-106,0,0,2.46,0,2.78,0,17.36,0,0,0,4.3,0,3.92,0.87,0,38.29,0,106.81,13.44,0,0,0,0,0,0,19.19,0,1.22,0,1.34
108-118,0,0,0,0,12.26,2.05,34.56,2.07,0,0,0.47,1.75,3.23,0,0,22.41,0,83.58,1.55,0,0,0,0,2.47,0,5.37,0,0,0,0
120,0,0,0,6.65,40.16,0,47.04,0,0,0,14.5,0,18.29,0,9.98,82.81,0,108.08,17.71,0,0,0,0,0,0,7.21,0,0,0,0
