stage,axial,blastomeres,eye,glial,hatching_gland,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,0,43.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.18,0,16.04,0,6.16,0,0,38.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.88,0,7.26,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.77,0,0,2.04,1.12,0,0
 24-34,0,0,0.65,0,0,0,0.73,3.81,0,0,0,0.89,0,0
 36-46,0,0,0,0,0,0.74,0,11.9,0,0,0,2.51,0,0
 48-58,0,0,0,0,0,0.71,0,1.06,0,0,0,0.42,0,0
 60-70,0,0,0,0.79,0,0,0,0,0,0,0,0,0,1.29
 84-94,0,0,0,0,0,0,0,0,1.8,0,0,0,0.98,0
 96-106,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0
108-118,0,0,3.11,0,0,2.87,0,1.05,2.29,0,0,0,0,0
