stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.63,389.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,910.24,2836.5,0,87.96,0,0,0,0,0,0,0,0,70.44,0,0,0,0,0,0,0,0,0,0,0,962.22,60.68,0,0,145.05,0,234.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,1033.67,236.19,0,1074.6,0,0,94.91,0,0,0,0,0,709.39,0,0,0,0,0,0,0,0,0,0,0,1583.26,1017.13,0,0,5521.94,0,35.84,7.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,142.05,0,474.96,0,58.29,17.92,0,0,0,0,0,172.89,0,0,0,0,0,0,0,0,0,0,3.87,1315.04,635.59,0,0,2826.91,0,0,4.94,39.24,374.91,0,71.89,0,0,0,0,0,0
 14-21,0,8.65,0.82,18.48,155.99,213.49,13.81,0,0,0,26.09,10.61,32.18,1.3,0,3.86,0,0,0,0,161.07,0,0,205.09,790.32,667.76,4.06,0.93,39.94,0,13.95,0,729.12,69.96,150.6,864.87,368.16,0,0,1.01,0,0
 24-34,0,0,1.85,0,8.28,3,48.34,0,0,0,22.6,0,0,0,0,0,0,0,10.37,3.78,28.25,0,0,12.45,2366.09,7.53,52.64,2.24,0,0,2.07,0,0,0.64,0,3.33,510.26,0,0,9.11,0,1.99
 36-46,0,0,1.35,0,2.83,0,167.9,0,0,1.19,54.46,2.17,0,0,0,0,0,0,0,7.18,17.74,0,0.67,17.79,3824.81,4.67,53.16,2.78,0,0,21.12,0,0,0,6.12,0,673.85,0,0,6.86,0,2.21
 48-58,0,0,0,0,6.6,0.45,558.36,0,0.42,1.63,156.37,0,0,0.84,0,0,0,0.85,4.43,0,47.35,0,5.09,5,4488.43,0,21.98,1.27,0,0,6.88,0,0,0.73,0.73,0,635.47,0,0.4,2.59,0,9.89
 60-70,0,0,0,0,1.63,3.72,929.85,0.83,0.68,1.18,114.65,0.63,0,0.78,0.7,0,0,0,0,1.83,42.43,0,0.93,2.39,3768.75,2.39,15.37,2.97,0,0,0,0,0,2.32,0,0,415.55,0,0,4.25,0,6.64
 72-82,0,0,2.37,0,5.97,11.61,1017.96,0,0.58,3.47,121.78,0,0,3.19,1.21,0,3.25,3.89,0,0.49,64.1,6.51,4.84,7.64,4033.67,0,46.49,1.32,0,0,0.52,0,0,0.76,0,0,237.9,1.67,1.24,4.07,1.42,0
 84-94,0,0,1.47,0,10.85,0,673.8,0,0,3.21,74.18,2.24,0,1.27,2.55,1.62,2.08,0,0,5.22,66.78,0,5.12,2.71,2154.8,0,24.96,3.77,0,0,3.23,0,0,0,0,0,180.89,2.69,2.78,11.29,1.59,0.7
 96-106,0,0,0,0,9.66,4.17,635.84,0.86,0.58,0.72,115.05,1.63,0,3.34,1.46,0,0,0,9.94,0,52.5,0,1.05,0.97,1791,0,53.02,3.32,0,1.51,5.36,3.82,0,0.58,0,0,52.66,0,2.43,0,1.54,0
108-118,0,0,2.06,0,16.15,6.95,480.26,0,0.55,0.8,114.16,1.72,0,0.49,4.41,0,0,1.53,0,1.07,46.31,0,5.32,6.37,2326.88,1.07,27.04,12.46,0,1.57,13.47,0,0,1.86,0,0,56.95,1.15,0,5.44,0,0
120,0,0,0,0,49.55,0,430.03,1.43,0,19.12,52.23,0,0,0,9.61,0,0,0,0,0,57.48,1.47,0,5.35,2191.86,2.56,14.69,1.47,0,0,0,0,0,0,0,0,105.69,0,0,0,0,0
