stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,liver,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,4.84
 24-34,0,2.35,0,2.76,0,0,1.45,0,0,0,0.72,0.71,0,0,14.92
 36-46,0,0,0,0.83,0,0,0,0,0,0,0,5.29,0,0,7.63
 48-58,0,0,0,0,0,0,0,6.01,0,0.91,0,7.45,0.54,0,2.13
 60-70,0,0,0,5.14,0,0,0,2.88,0,0,1.13,5.85,9.15,0,8.14
 72-82,0,0,0,0,0,1.07,0.56,0.5,5.32,1.01,0,5.31,3.5,0,1.02
 84-94,0,0,0,0.95,0,0,2.56,7.61,0,0,0,0,3.58,3.81,6.89
 96-106,0,0,7.97,0,0,0,2.59,11.27,0,3.36,0,0,1.47,0,1.16
108-118,0,0.43,1.21,0,0,0,0,2.3,0,1.32,0,1.17,9.68,3.28,10.77
120,0,3.01,3.68,0,1.75,0,0,10.06,0,0,0,2.89,11.16,0,13.08
