stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0
 14-21,0,4.72,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0.89,34.52,0,0
 24-34,0,0,0,0,1.06,0,0.85,0,0,0,0,0,1.2,0,0,7.47,0,0.63,0,35.02,3.92,0
 36-46,0,0,0,0,0.86,0,2.57,0,0,0,0,5.5,0,4.4,0,1.6,0,0.63,1.22,100.38,3.55,0
 48-58,0,0,0.59,0,6.24,0,0.55,0,0.38,0.52,0.5,0,0,0,0,14.17,0,0,0,161.47,8.73,0
 60-70,0,0,0,0,0,1.33,0,0,0,1.27,0,0,0,0,0,3.78,0,0,0,125.83,0,0
 72-82,0,2.63,0,0,1.57,0,0,0,0,2.11,0,0,0,0,0.69,9.28,3.83,0,0.54,59.17,0,1.16
 84-94,1.16,9.03,0,0,10.27,0,4.54,0.8,0,6.19,0,0,0,2.85,0,1.85,0,0,1.34,258.41,0,0
 96-106,0,12.88,0,0,9.37,0,2.19,4.2,0,3.69,0,0,2.8,2.06,0,15.62,0,3.68,1.97,250.21,0,0
108-118,0,14.68,0,0.48,7.52,0,4.31,0,0.68,8.09,0,0,5.28,4.78,0,6.88,0,2.36,0.78,283.59,0,3.35
120,0,1.88,0,0,2.37,0,7.24,0,0,2.37,0,0,0,2.21,0,10.67,0,0,6.64,142.42,0,0
