stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.98,24.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.92,0,0,0,0,0,0,0,0,0
  5-6,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,12.35,0,0,0,0,0,0,0,1.07,0,0,0.81,0,0,0,0,0,0,3.11,20.36,1.61,2.02,0,0,10.67,3.1,0,3.74,2.52,0,0,0,0,0
 24-34,0,0,0,0,86.54,0.62,0,3.35,0,19.39,0,1.52,1.08,0.67,0,4.81,0,0,0,0,2.29,1.6,0,60.02,0,2.32,0,0,160.77,2.45,0,1.73,7.97,0,0,4.03,0,6.22
 36-46,0,0,0,0,100.58,0,0,6.95,0,55.87,0,6.3,0,0,0,3.64,0,0,1.07,0,0.63,1.97,0,86.64,0,0,1.4,0,239.28,2.32,0,0,12.47,0,0,1.36,0,12.22
 48-58,0,0,0,0,81.95,0,0,9.91,0,33.98,0.56,10.21,4.03,0,14.31,0.37,0,0,0,0.6,5.16,3.58,4.97,104.31,0,4.1,0,0,61.82,7.01,0,0,8.54,0,0,1.06,0,24.2
 60-70,0,0,0,0,84.15,0,0,14.45,0.61,43.3,3.99,23.29,9.98,0,0,1.14,0,0,6.47,7.28,1.36,0.57,0,75.67,0,6.56,2.92,0,20.29,0.67,2.15,0,17.57,0,0,0,0,16.97
 72-82,0,0,2.16,0,61.72,0.57,0,57.48,0.53,27.66,2.48,58.67,10.61,0,0,0.7,0.8,2.6,0,5.12,46.37,4.26,1.75,95.92,0,4.78,2.35,0,6.26,2.7,0,0,16.76,0,0,8.28,0,18.71
 84-94,0,0,1.83,1.01,88.55,0.6,0,34.97,0,39.98,0,51.02,8.37,0,0,1.29,0,0,0.96,3.1,8.02,4.71,1.01,48.89,0,7.96,0,0,46.29,5.11,0,0,2.4,0,0.68,2.86,1.5,11.85
 96-106,0,0,9.09,0,60.76,21.85,1.26,88.56,0,19.13,0,85.03,19.21,0,4.6,6.72,3.6,0,12.09,1.4,56.33,1.69,3.82,130.14,0,11.71,3.89,0,37.03,3.76,0,0,16.6,0,0,3.33,0,16.7
108-118,0,0,7.42,0,75.32,0,4.15,173.1,2.37,27.71,8.77,109.78,44.09,0.51,0.83,5.45,0.61,3.98,10.31,5.04,57.1,7.84,1.67,272.49,1.2,9.01,5.98,0,38.96,2.84,0.43,0,13.3,0.71,0.54,1.23,1.9,15.35
120,0,0,7.01,0,73.42,1.35,0,187.01,2.11,35.5,18.22,276.2,57.08,0,3.04,8.39,0,0,11.49,3.39,86.65,4.41,19.27,373.93,5.26,22.58,3.69,0,71.14,8.43,5.14,0,25.48,6.78,0,0,0,4.65
