stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.1,0,0,0,0,0,0,0,0,0,0,0,3.87,1.24,0,0,0,0,0.84,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,5.53,0.57,0.74,0,0,0,0,0,0,1.91,0,0,12.27,0,0,0,0,0,0,0,5.99,0,0,2.14,0
 48-58,0,0,6.61,0,0,0,0,0.39,0,4.4,0,0,9.57,0,0,0,0,0,0,0,2.41,0,0,0,0
 60-70,0,0,3.03,0,2.3,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,1.2,0,0,0,0
 72-82,0,0.65,8.41,0,1,0,0.86,0,0,4.62,1.2,0,20.04,0,0,0,0,0,0,0,0,0,0,0.82,0.62
 84-94,1.43,0,0,1.02,7.85,0,0,0,0,2.36,0,0,7.78,2.13,0,0,0,0,0,0.91,4.13,0,0,1.42,0
 96-106,0.65,0,9.9,0,0,0,0,0,1.47,7.26,1.07,0,11.24,0,0.89,0,0,0,0,0,0,0,2.43,0.88,0
108-118,0,0,17.59,0.96,1.51,0.61,0,0,0,1.02,0,0.56,15.76,0,0,0.72,0,2.23,0,0,0,0,0,2,0
120,3.47,0,2.48,0,35.28,1.09,0,0,0,2.28,0,5.5,29.44,0,0,0,14.47,2.04,0,0,0,2.82,0,0,0
