stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,1.13,21.34,0,0,0,1.31,1.1,0.83,5.58,0,0
 24-34,0.68,0,0,1.71,0,0.71,0,0,0,0,0,0,1.37,0,0.73,14.99,0,0,0,0.73,0,0,6.53,0.73,0
 36-46,0,0,0,2.81,0,0,7.93,0,0,0,0,0,2.59,0,0,54.71,0,0,0.57,2.11,0,0,8.64,0,0
 48-58,1.23,0,0,8.95,0,0,1.31,0,0,0,0,0,3.49,0,0.79,56.01,0,2.27,2.22,0,0,0,10.1,0,0
 60-70,0.58,0,0,15.67,0,0,0,0,0,0,0,0,0,0,0.72,73.71,0,0,0.86,0,0,0,8.17,0,0
 72-82,0.49,0,0,39.38,0,0,3.75,0,0.8,0,0,0,3.55,0,0.63,124.75,0,0,0,1.16,0,0,12.6,0,0.67
 84-94,1.7,0,0,61.99,0,0,0.68,0,0,0,0,0,6.86,1.94,0,59.43,0,0,2.39,0,0,0,4.39,0,0
 96-106,0,14.11,0.89,22.11,0.93,0.63,11.76,0,0,0,0,0,12.5,0,0,53.32,0,0,0,0,0,0,7.31,7.47,0
108-118,0,0,1.71,21.37,0,2.53,1.68,0.63,0,2.91,0,0.58,4.37,0,0,82.27,0.43,0.66,0,2.36,0,0,0,0.5,0
120,1.09,0,0,51.32,0,0,0,0,0,0,0,0,0,0,1.26,88.33,0,0,0,2.96,0,0,16.37,0,0
