stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,57.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,31.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.37,0,0,8.35,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.02,82.56,25.97,0.81,0,0,0,0,0,1.08,1.81,0,0,0,0,98.26,0,0,79.44,29.35,0,0.9,0,0,0,2.27,0.89,0.88,3.41,5.44,0,25.35,0,0
 24-34,0,0,0.64,27.28,0,3.63,0,0,1.87,1.71,0.63,3.85,14.1,0,0,0.96,2.61,181.65,0,0,74.83,54.07,0.67,0,0,0,0,0,0,0,0.95,5.1,0,63.58,0,0
 36-46,0,0,0,15.72,0,38.4,0,0,4.73,0,0.72,0,6.71,0,0,2.1,0,342.26,0,1.14,95.62,36.83,5.41,1.43,0,3.82,0,0,0.62,0,0,2.57,0.85,59.19,0,0
 48-58,0,0,0,4.75,0,173.66,0,9.75,6.98,11.74,0,0,10.63,0,0,0.44,0,339.08,1.32,9.77,52.9,60.6,2.64,3.56,0,4.87,0,0,0.37,0.58,0,5.33,1.46,44.01,0,0
 60-70,0,0,0,2.31,0.77,340.86,1.45,8.13,15.48,41.07,0,0,13.63,0,0,0.72,0,435.83,0,12.61,64.1,36.66,0,1.38,0,1.95,0,0,0,0,0,1.73,9.14,40.22,4.21,0
 72-82,0,0,0,4.52,7.17,166.44,1.84,0,20.19,61.98,0.65,0,20.52,0.68,1.38,3.31,0,515.1,0,17.34,45.87,35.44,0,2.86,0,0,0,0,0,0,0,0.63,14.3,77.98,16.3,0
 84-94,0,0,0,5.23,1.3,133.85,0,0,22.7,66.27,0,0,25.32,0.8,0.66,0,0,419.56,0,24.2,28.95,21.47,1.14,4.53,0,1.39,0,0,0,0,0,2.14,15.28,54.21,17.69,0
 96-106,0,0,0,9.06,0,91.93,0.59,0.56,9.93,47.2,0,0,35.69,0,2.14,4.36,0,419.88,0,11.54,43.12,42.98,0.64,4.74,0,5.8,0,0,2.39,0.64,0,17.28,11.74,57.64,25.54,0
108-118,0,0,0.98,5.58,0.98,94.65,0,0,23.12,44.21,0,0,13.99,0.49,9.54,1.4,1.06,469.07,0,22.15,35.27,41.3,0,1.12,0,7.13,1.19,0,0,0,0,0,4.04,86.44,21.27,0
120,0,0,0,0,0,62.54,0,0,36.2,19.34,0,0,31.46,0,1.92,4.17,0,293.67,0,14.68,57.13,35.05,0,0,0,0,0,0,0,0,0,0,1.56,67.21,31.18,7.34
