stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,113.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.26,161.4,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,12.03,0,0,0,0,0,0,0,0,0
 10-12,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.89,0,0,0,7.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.23,0,6.25,0,1.3,0.85,0,0,0,0,2.25,0,1.47,38.29,0,0,0,0,0,0,9.06,0.85,4.2,9.22,0,0,0
 24-34,0,0,0,0.73,0.74,0,3.12,0,0,1.02,0,0,0,0,2.07,0,1.17,51.47,0.66,1.1,0,0,0,0,0,0,0,14.51,0,0,0
 36-46,0,0,0,0,0,0,7.03,0,1.02,0,0.57,0,0,0,6.19,0,1.49,63.77,0,0.91,0,0,0,0,0,0,0,8.61,0,0,0
 48-58,0,0,0.44,0,1.28,0,11.66,0,8.92,0,0.85,0.97,0.41,0.58,10.63,0,0.61,84.23,0.94,0,0.43,0,0,0.5,0,0,0,24.53,0,0,0
 60-70,0,0,0,0,0,0,7.87,0,0,0,0.75,0,0,0,6.5,1.19,0.91,29.19,0,0,0,0,1.21,1.04,0,0,0,0,0,0.59,0
 72-82,0,0,0,0,0,0,19.3,0,1.33,0,0,0,0,0,8.02,0,0,23.61,0,1.07,0.51,0,0,0,0,0,0,0,0,0,1.09
 84-94,0,0,0,0,1.85,0,5.04,0,1.53,0,0,0.61,0,0.86,3.95,0,3.22,27.53,0,0,0,0,0,0,0,0,0,1.6,0,0,0
 96-106,1.12,0,0,0,2.35,1.6,10.89,0,3.95,0,0,0.69,0,0,6.56,0,1.97,32.93,0,0,0,0,0,0.58,0,0,0,6.67,0.66,0,0
108-118,0,0,0,0,0.43,0,27.32,1.06,4.67,0,0,0,0,0,1.8,1.6,0.48,22.06,0,0,0,0,0,1.52,0,0,0,0,0,0,0
120,0,0,0,0,1.4,0,13.91,0,0,0,0,0,2.05,0,9.54,0,0,13.1,0,0,0,0,0,3.29,0,0,0,0,0,0,0
