stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,342.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,239.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.06,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.94,15.6,0,9.62,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0.94,52.98,1.14,0,2.46,0,0,0,2.39,2.31,163.28,0,0,0,0,0
 24-34,0,0,0,0,1.89,0,0,12.96,0,0,0,1.67,0,0,0,0,0,0,0,0,0,2.87,0,0,0.82,801.89,0,0,4.87,0,7.77,1.32,2.01,0,444.79,0,0,0,0,0.95
 36-46,0,0,0,0,0,0,0,68.68,0,0,0,2.06,0,4.78,0,0,0,0,0,0,0,4.14,0,0,0.59,2253.25,0,0,0.75,0,13.46,0,7.71,0,582.51,0,0,3.51,0,0
 48-58,0,0,0,0,6.33,0,0,261.38,0,3.7,1.41,19.64,0,1.62,0.54,7.69,0,0,0.41,3.08,3.59,63.75,0,2.52,2.35,3400.69,0,0.44,5.95,0,1.56,0.4,7.14,0,684.02,0,0,2,0,2.45
 60-70,0,0,0,0,5.18,0,0,901.33,0,0,0,24.36,0.72,0,0,0,2.41,7.43,0,0,0,313.96,1.83,0,11.06,3936.8,0,0,5.46,0.81,24.04,0,3.04,0,637.53,0,0,4.31,0,10.01
 72-82,0,0,0,0,16.46,2.81,0,1020.21,1.24,5.36,1.32,55.67,4.7,1.11,0,0,0,0,0,1.54,0,609.01,0,2.02,0.71,3852.88,0,0,9.6,0,4.26,8.24,1.64,0,423.38,1.81,0.61,3.89,0.56,10.09
 84-94,0,0,1.01,0,14.3,5.62,0,843.34,12.4,0,1.27,66.11,8.7,2.06,0,9.33,0.71,1.5,1.21,0,11.03,569.66,0,2.35,2.47,2489.57,2.98,0,13.58,0,7.93,0,2.3,0,346.19,5.75,4.51,0.93,3.36,13.74
 96-106,0,0,0,0,7.03,11.45,0,714.02,3.97,10.49,0.64,62.48,7.68,2.38,1.03,1,0,0,0.84,0,0,333.12,0,0,0.77,2163.72,0,0,15.07,0,16.24,0,2.55,0,194.14,12.09,2.41,1.33,1.4,6.46
108-118,0,0,0,0.93,23.06,1.34,0.53,744.83,0,0.74,13.89,46.36,4.26,0,1.65,3.67,0,3.25,0,1.64,0,264.11,2.16,0,5.16,2547.28,0,1.64,6.29,0,1.83,0.58,3.15,0,113.15,12.11,1.53,1.03,1.93,0
120,2.82,0,0,0,58.64,0,0,563.26,8.02,2.48,0,96.09,10.99,0,0,8.92,0,0,0,5.66,0,390.96,7.55,0,3.71,3233.92,4.31,0,12.31,0,10.32,0,1.21,0,85.61,9.9,0,0,0,0
