stage,blastomeres,epidermis,eye,fin_mesenchyme,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,22.26,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.92,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.55,0,0,0,0,89.89,4.51,0,24.57,0,0
 10-12,0,0,0,0,0,0,0,128.83,0,0,33.82,0,0
 14-21,0,0,0,0,0,0,0,1.3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.17,0,0,0,0.65,0
 36-46,0,1.17,0,0,0,0,0,17.51,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.96,0,0,0,0,0
 60-70,0,3.47,3.1,1.68,0,9.84,0,0,0,0,0,0,8.15
 72-82,0,0,0,0,0.55,1.28,0.54,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.26,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.01,0,0,0,0,0,0,0
120,0,9.78,2.12,0,0,2.76,3.07,6.88,0,2.56,0,0,0
