stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0.84,0,0,0,0,2.29,0,0,0,0,1.11,5.22,0,0,0,0.88,0,3.09,2.69,0,0,0,0,0
 24-34,2,0,1.63,0,0,1.63,0,0,0,0,1.46,0,0,27.67,0,0,0.77,0,3.3,0,0,6.66,0,0,0,0
 36-46,6.89,0,1.18,0,0.58,2.75,0,0,0,0,9.02,0,4.14,15.46,1.28,0,0,0,0,0,0,4.46,0,0,0,0
 48-58,12,0,7.27,0,0,0.87,0,0,0.66,0,2.28,0,0.41,16.09,0,0,0,0,0.51,0,0,2.46,0,0,4.41,0
 60-70,18.13,0,11.55,0,0,0.93,0,0,0,0,10.1,0,0,15.69,0,0,2.96,0,4.45,0,0,0.89,0,0,0,0.71
 72-82,1.66,0,19.39,0,0,1.75,0,0,0,0,11.74,0.55,0.5,5.47,0,0.56,0.51,0,0,0,0,0,0,0,0,0
 84-94,2.51,0.57,2.35,0.57,0,0,0,0,0,0,13.62,0,1.04,5.01,0,0,0,0,12.85,0,0,0,0.57,0,0,0
 96-106,5.3,0,13.74,0,0,0,0,0,0,0,0.88,0,0,4.48,0,0,0.84,0,2.51,0,0,0,0,0,0,0
108-118,2.28,0,12.5,1.12,0,3.62,0,0,0,0,9.62,0,1.31,3.17,0,0,4.15,0,2.67,0,0,0,0,0,0,0
120,1.18,0,0,0,0,2,1.91,0,0,2.52,3.38,2.35,1.58,4.77,0,0,1.76,0,1.35,0,0,0,0,3.74,0,0
