stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0
  5-6,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0,0,4.24,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0,0,0,3.14,0,0,0,0,0,0
 14-21,0,0,0,3.63,0.92,0,0,0,22.8,0,0,0,0,0,1.07,0,0,11.3,2.55,1.55,2.9,1.12,9.52,20.31,0,83.22,0,0,0,0
 24-34,0,0,0,1.38,0,0,0,0,27.93,0,0,0,0,0,2.11,0,0,36.75,0.7,19.7,7.58,0,0,10.41,0.74,75.77,0,0,1.81,0
 36-46,0,0,0,0,0,0,0,0,24.7,0,0.93,0,0,0.99,1.2,0,0.87,27.4,0,22.05,0,0,0.91,8.68,0,29.35,0,0,0,0
 48-58,0,0,0,0,0,4.5,0,0,25.5,0,0,0,0,2.19,2.28,1.17,1.13,27.56,0,18.89,8.5,0,0,0.75,0,42.63,0,0,0,0
 60-70,0,0,0,0,0,0,0.96,1.53,23.23,0,0,0,0,2.13,0.89,0,0,47.43,0,19,10.92,0,3.31,5.73,0,18.68,0,0,0,0
 72-82,0,0,0,2.51,0,3.33,0,0,28.32,0,1.02,0,1.62,1.29,9.6,0.92,0,42,3.31,16.62,5.8,0,2.42,1.78,0,29.54,0,0,0,0
 84-94,0,0,0,0,0,1.41,0,0,34.48,0.58,0.6,0,0,0.65,2.25,0,0,28.59,0,33.45,6.16,0,1.65,0,0,11.26,1.17,0,0,2.12
 96-106,0,5.6,0,0,2.32,5.86,0,0,21.93,1.1,1.57,0,0,1.05,8.86,1.37,0,19.23,0,25.17,8.29,0,7.13,0.87,0,13.06,0,0,0,0
108-118,0,0.76,1.06,1.2,0,8.89,0,0,28.55,0,0,0.68,0,2.82,3.84,2.85,0,21.06,0,23.37,12.55,0,23.76,3.61,0,8.05,0,0,0,5.75
120,0,0,0,0,0,5.61,0,0,30.47,0,4.22,0,0,6.59,5.12,0,0,28.02,0,51.41,27.56,0,1.32,15,0,15.4,0,1.52,0,14.33
