stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vasculature
  3-4,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.6,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,24.38,0,0,0,0,0,15,0,0
 24-34,0,0,0,0,0,3.19,0,0,0,0,0,0,257.65,0,0,0,0,0.64,28.77,0,0
 36-46,0,0,0.64,0,0,29.99,0,2.04,0,0,0.81,0,612.76,3.3,0,0,7.15,0,69.43,0,5.91
 48-58,0,0,7.48,0,0,98.24,0,5.12,0,0,2.86,0.45,870.5,0,0.47,0,0,0,95.51,0,0.4
 60-70,0,0,0,0.81,0,304.02,1.48,0.87,0,0,9.74,2.3,838.72,1.88,0,0,0,0,86.62,0,0
 72-82,0,0.62,1.56,4.86,0,302.8,0,9.96,0.71,2.18,6.59,0,747.2,2.58,0,0,0,0,55.6,1.01,0
 84-94,0,0,0,0,0,203.49,0,10.57,0,0,8.28,4.74,549.5,1.9,1.6,1.75,0,0,46.41,4.72,2.55
 96-106,0,0,2.47,0,0,210.19,0,8.8,0,2.07,2.81,0,500.69,3.26,0,0,0,0,11.52,0,0
108-118,0,0,0.71,0.69,0,200.8,0,3.01,0,0,2.28,0,476.03,3.47,0,0,0,0,43.37,0,7.37
120,0,0,0,0,1.8,82.04,0,7.07,0,0,7.04,0,543.22,3.5,0,0,0,0,0,0,0
