stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.86,585.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.18,0,0,0,0,0,0,0,0,0
  5-6,18.74,130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.71,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.54,4.44,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,1.46,0,0,0,5.63,0,0.98,0,0,0,0,0,0,0,0,0,0,1.27,212.68,0,2.81,0,0,0,0,1.76,0,3.79,102.31,0,0,0,0,0
 24-34,0,0,3.3,8.59,0,0,13.26,18.2,0,0,19.73,0,0,1.04,0,1.23,0,0,4.01,0,2.3,0,0,0,2633.03,0.67,79.56,0,0,0,5.34,2.83,0.65,0.69,427.53,0,0,0.85,0,0
 36-46,0,0,0,9.68,0,0,250.16,1.09,0,0,28.73,0,0,2.65,0,2.64,0,0,0,0,12.06,0,0,1.18,7507.06,2.85,54.15,1.51,0,0,18.9,6.88,3,0,998.15,0,0,10.63,0,5.17
 48-58,0,0,0.68,33.52,0,0,1042.49,7.73,0,1.71,108.9,0,0.37,3.21,0.49,0,5.88,0,15.99,1.12,63.96,0,0.74,9.27,12205.94,4.9,44.33,6.3,3.66,3.8,5.91,0,2.12,0,1663.85,0,0,11.89,0,15.94
 60-70,0,0,2.72,34.97,1.55,0,1240.07,4.37,0,0.75,103.73,9.62,5.9,2.7,0.81,0,0,0,6.57,0,66.66,0,0,3.62,13172.29,3.04,33.77,0,0,0,5.4,1.22,2.58,0,1262.07,0,0,0.81,0.89,7.77
 72-82,0,0,3.29,36.62,5.15,0,1346.25,4.94,0.5,2.67,130.59,1.45,0,8.67,5.41,1.77,1.24,5.61,0,3.22,51.26,0,0,1.47,12124.27,0,50.28,3.02,0,0,8.02,0.55,9.71,0,950.08,0,2.58,4.64,3.98,22.45
 84-94,0,0,10.22,56.03,0,0,1195.29,10.04,1.45,2.11,114.77,7.44,0,6.49,9.59,5.5,1.65,1.34,0,0,81.65,1.01,4.39,4.07,7771.22,0,39.4,4.49,0,0,8.92,1.98,1.46,0,588.2,0.9,4.41,4.3,4.98,0
 96-106,0,0,9.51,54.41,25.98,9.83,890.78,6.36,1.33,7.72,187.23,4.93,0,6.88,14.28,6.91,0,1.38,9.94,0,49.66,1.17,3.86,4.8,6662.13,0,55.02,4.27,0,2.27,37.11,0,0.84,0,340.99,4.08,2.98,14.53,2.66,3
108-118,0,0,1.77,69.74,3.52,3.94,1038.98,11.82,8.25,5.71,154.07,8.66,0,1.74,3.97,2.43,1.83,0,3.69,0,39.36,0.54,2.64,8.63,7205.75,0,51.46,3.94,0,0,7.07,0.88,1.57,0,151.84,4.9,0,3.54,3.62,10.83
120,0,0,0,99.43,10.25,13,1188.63,11.27,14.64,13.32,250.4,4.77,0,14.05,6.39,11.58,0,3.84,5.48,0,134.08,2.91,5.31,1.49,12359.17,0,32.5,37.99,0,0,9.2,1.04,4.08,0,266.45,0,11.64,23.94,13.37,2.59
