stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,20.12,0,0,0,0,0,0,0,0,26.95,4.47,0,0,0,0,0,0,0
 10-12,0,0,0,15.65,0,12.1,0,0,0,0,0,0,42.97,0,0,10.23,0,10.4,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,13.39,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,1.76,0,1.3,0,0,0,2.37
 36-46,0,0,0,0,0,0,0,0,0,0,0.59,0,3.99,0,0,0,4.08,0,0.61,0,2.16
 48-58,0,0,0,0,1.57,0,1.08,0,0,0,0,0,6.52,0,0,0,0,0,0,0,2.26
 60-70,0,0,0,0,0,0,0,0,0,0.68,2.94,0,0,0,1.23,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,1.44
 84-94,0,0,0,0,0,0,0,2.13,0,0,3.72,2.76,0.58,0,0,0,0,0,0,0.78,1.68
 96-106,0,0,4.39,0,0,0,0,0,1.8,0,0,0,4.05,0,0,0,3.69,0,0,0,0
108-118,0,0.52,0,0,0.66,0,0,0,0,0,1.14,0,3.55,0,1.06,0,0,0,0,0,0.62
120,0,0,0,0,0,0,0,5.52,0,0,0,0,3.2,0,0,0,2.78,0,0,0,0
