stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,4.28,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.25,0,0,1.8,0,0,0,0,0,0,0,0,0,0,3.08,15.82,0,0,0,3.19,1.21,5.06,52.81,0,4.04,2.14,0,0,0,0,0
 24-34,0,0,0,0,1.65,0,0,0,0.65,0,0,0,0,11.63,0,3.6,32.59,0,0.75,1.6,0,0,0,457.06,0,0,6.15,0,0,0,0,0
 36-46,0,0,0,0,3.61,0,0,0,0,0,15.98,0,0,10.75,0,5.23,43.36,0,1.2,0,0,0,0,324.61,0,0,3.81,0,0,0,0,0.64
 48-58,0,0.53,0,0,5.01,0,0,0,0.74,0,0,0.43,0,7.02,0,0.71,31.98,0,0,0,0,0.39,0,151.41,3.22,0,11.09,0,0,0,0,0
 60-70,0,2.04,1.62,0,15.29,0,2.1,2.53,6.47,0,0,6.01,0,26.99,0,0,20.23,2.15,0,0,0,0,0,102.09,0,0,1.54,0,0.67,0,0,0
 72-82,0,4.3,0,2.97,17.45,0,5.83,0,7.62,0.86,0,1.66,0,41.24,1.19,3.42,19.19,0,0,2.89,0,0,0,115.02,0,0,7.31,0.62,0.52,0,0,0
 84-94,0,1.11,0,0,18.72,0,0,2.12,4.48,0,0,2.09,3.72,16.5,0.95,1.77,12.29,0,0,0,0,5.81,0,181.12,0,0,10.45,2.89,0.68,0,0,4.24
 96-106,0,1.68,1.98,0.75,31.04,0,0,0,0,0,0,0.67,8.78,10.05,0,1.25,26.28,0,0,0,0,0,0,179.52,0,0,0,0,0,0,0,0
108-118,0,2.21,0.99,0,8.76,0.49,0,0,4.56,0,0,0,3.33,22.86,0,0,1.59,0,0,0,0,0.45,0,136.97,0,0,0,0,0,0,0,0
120,0,0,0,0,2.05,0,2.19,0,15.45,0,0,0,0,2.88,0,2.23,18.65,0,0,0,0,0,0,96.88,0,0,0,0,1.52,3.55,8.87,0
