stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,44.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,10.09,0,7.67,0,0,0,0,0,0,0,0,0
 10-12,0,6.96,0,262.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.56,0,0,0,48.24,0,0,0,95.59,0,8.29,0,0,0,0,0
 14-21,0,0,0,125.38,129.35,57.58,3.53,0,1,0,6.53,43.06,3.1,0,0,0,5.52,0,41.27,0,0,82.36,112.6,6.11,1.21,47.25,4.37,0,9.21,1.29,130.99,0,13.68,127.45,0,12.69,0,0
 24-34,0,0,0,24.58,41.89,3.45,12.95,0,1.7,2.57,9.89,0,3.13,0,0,0,4.28,0,334.86,0,0,131.48,176.5,14.47,2.87,9.45,0,0,1.54,0.76,26.96,0.69,6.2,133,0,73.93,0,0
 36-46,0,0,0,0.63,2.79,0.76,22.65,0,4.77,45.38,13.72,0,0,0,0,0,0,13.49,551.84,0,0,174.66,140.56,1.83,0,1.43,0,0,4.37,0,20.26,0,0,79.82,0,33.23,0,0
 48-58,0,0,0,0.43,7.37,0,50.25,0,19.91,62.53,16.35,0,1.03,0,0,0,2.08,3.22,523.27,0,0,111.62,162.43,5.02,0,2.07,0,0,0,0,2.09,0,0,17.64,0,21.86,0,0
 60-70,0,0,0.57,0,1.43,0,30.35,1.97,21.23,79.51,18.27,0,7.44,0,0,0,0,0,708.27,0.73,0,75.07,126.76,5.45,0,0,0,7.89,0,0,24.38,0,0,9.16,0,4.5,2.65,9.38
 72-82,0,0,0,0,7.36,0.77,32.82,5.03,11.28,116,24.52,0,0.55,0,0,0,0,0,752.05,0,4.51,87.43,107.47,0,0,0.55,0,3.12,4.16,0,2.5,0,0,9.63,8.41,33.05,2.63,0
 84-94,0.62,0,0,1,5.87,0.71,43.51,3.03,0.58,67.02,28.8,0.71,3.96,1.45,1.03,0.73,0,0,705.89,0,2.93,68.72,81.71,0,0,0.59,0,0,1.85,0,10.49,0,0,8.99,4.1,23.93,2.18,0
 96-106,0,0,0,0,4.25,6.89,32.34,0,3.6,59.74,17.97,0,2.78,0,0,0,0,0,576.87,0,5.79,60.84,99.05,0,0.64,6.48,0,4.27,1.76,0,7.99,0,0,3.11,11.14,42.23,7.77,0
108-118,0,0,0,0,10.03,0,25.75,0,7.18,44.09,6.15,0,6.71,0,0,0,0,0,666.68,0,0,40.14,117.75,0.41,0.77,3.94,0,6.19,3.14,0,9.2,0,0,0.98,4.82,18.93,1.68,6.02
120,0,0,0,0,1.02,0,48.7,0,0,93.25,9.25,0,3.84,0,0,2.64,5.66,0,782.12,0,22.72,31.95,134.91,0,0,3.01,0,0,0,0,11.13,0,0,2.39,1.32,11.3,6.74,0
