stage,erythrocytes,eye,glial,mesenchyme,neural
 48-58,0,4.23,0,0,0
 60-70,0,21.13,0,0,1.33
 72-82,0,32.12,0,0,1.46
 84-94,0,123.82,0.87,1.12,0
 96-106,0,95.77,0,0,1.14
108-118,5.22,111.23,0,0.96,0
120,0,26.29,0,0,0
