stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,15.19,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.27,0,29.7,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,12.08,13.2,0,0,0,3.33,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,124.43,13.93,0,0,49.77,0,0,0,52.07,0,0,0,0,0,0,0,0
 14-21,0,0,2.26,58.94,88.42,0,3.7,0,0,0,0,2.75,5.9,3.46,0,0,0,0,0,1042.58,0,0,759.93,381.38,3.21,0,0,6.41,0,0,136.98,0.89,0,106.38,13.88,0,0,0.91,0,0
 24-34,0,0,4.89,31.9,13.61,0,21.65,2.11,8.42,87.36,5.42,1.32,4.9,27.83,0,0,2.86,14.7,0,2441.77,1.11,1.7,704.36,515.35,3.72,1.27,3.54,0,2.13,0.65,2.89,0,0,188.06,37.63,0,0,34.12,0,3.46
 36-46,0,0,0,17.53,0.6,0,10.62,0,0,282.93,17.25,0,1.18,27.02,0,0,0,0,0,2612.6,1.12,6.35,469.65,296.74,0,1.79,0.57,0,0.97,0,2.14,0,0,1.78,29.62,0,1.87,26.36,0,4.61
 48-58,2.31,0,0,13.16,3.7,0,111.07,0,5.11,351.88,3.25,0,12.5,20.92,0,0,9.8,0,21.14,3113.02,0,5.64,316.33,478.63,0,0.6,0,0,3.44,4.74,0,0.38,2.21,0,24,0,3.59,15.63,0,7.72
 60-70,0,0,0,11.06,0,0,44.94,0.68,11.9,382.92,2.79,4.65,9.14,11.14,3.99,0,7.57,12.41,0,3646.58,0,4.92,189.58,250.16,0.95,0.98,0,0,6.71,1.1,0,0,0,0,4.38,0,9.41,3.88,10.82,0
 72-82,0,0,0,15.76,0,0,110.38,1.83,4.43,388.56,19.2,0,0.6,14.16,0,0,0,0,0,3561.87,1.37,11.9,206.72,174.69,0,13.6,0,0,5.44,0,0,0,0,0,2.73,0,19.94,19.64,18.99,9.92
 84-94,0,0,0,11.1,0,0,167.97,1.34,0,373.44,13.56,1.32,7.64,14.26,0.7,2.64,1.76,0,0,3443.8,0,31.14,125.03,109.88,0,0,5.57,0,12.2,4.09,0,0,0,0,8.05,0,5.09,29.47,20.86,0
 96-106,1.12,0,0,20.34,9.73,1.61,117.58,3.74,7.46,297.94,33.12,1.56,0,10.39,2.57,0,0,1.8,0,3017.48,5.69,7.53,117.11,211.26,1.54,3.43,0,0,6.51,3.14,0,1.32,0,0,0,2.4,10.24,49.29,11.11,0
108-118,0,0,0,14.21,2.31,0,78.86,1.01,3.26,328.25,9.3,1.22,0,4.01,6.34,0,0,11.41,0,3203.3,0,9.23,104.08,89.47,0.41,1.88,3.7,0,29,1.48,0,0.73,0,0,4.72,0,9.77,14.78,7.37,0
120,0,0,0,27.59,1.8,2.68,68.38,0,0,234.36,21.69,0,0,2.09,0,0,1.62,15.39,9.24,2529.34,0,9,47.48,154.38,3.39,0,0,0,48.35,0,0,0,0,0,10.35,0,16.98,53.45,13.47,4.69
