stage,eye,fast_muscle,neural,presomitic_mesoderm,spinal_cord,vasculature
 14-21,0,0,0,1.24,0,0
 24-34,0,8.76,0,0,0,0
 36-46,0,0,0,0,1.41,0.76
 48-58,0.38,0,2.37,0,1.27,0
 60-70,0,0,3.43,0,0,0
120,0,0,0,0,15.17,0
