stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.58,7.1,7.63,0,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,38.02,6.25,0,0,36.31,0,0,0,0,0,0,0,0
 10-12,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.12,0,0,0,30.43,0,0,5.96,0,0,0,0,0
 14-21,0,0,0,1.71,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,22.55,0,2.21,0,0,0,2.51,0,3.26,0,0,0,0
 24-34,0,0,0,1.28,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0.64,0,0.97,209.51,0,17.96,0.73,0,0,0,0,25.98,0,0.67,0,0
 36-46,0,0,0,0,0,0,6.95,0,1.75,0,0,0.65,0,0,0,0,0,1.8,0,0,466.68,0,36.85,0,0,0,0,0,48.46,0,0.68,0,1.69
 48-58,0,0,0,1.73,0,0,40.99,0,6.46,0,0,1.39,0,0,0,0,0,2.63,0,0.38,621.12,0,17.03,0,0,0,0,0,35.49,0,0,0,2.36
 60-70,0,0,0,0,0,0,84.03,0,4.35,0,0,0,0,0,0,0,4.02,4.38,2.41,0,1086.21,0,17.98,0,0,0,0,0,38.04,0,0,0,5.87
 72-82,0,0,0,3.74,1.11,0,204.85,2.14,19.69,1.37,0,1.07,0,0,0,1.56,0,16.3,0.93,1.39,1603.11,0,23.36,1.06,0,0,0,0,37.35,0,2.29,0,7.79
 84-94,0,0,0,2.36,4.98,0,263.1,0,34.32,0,0,0,1,0.71,1.4,0,0,16.89,0,1.13,1270.43,0,34.12,0,0,8.11,0,0,24.98,2.54,0,0,0
 96-106,0,0,0,6.63,0,0,208.69,0.66,29.89,0,0,1.53,3.01,0,0,2.98,0,11.83,0,1.25,1283.62,0,31.7,0,0,3.32,0,0,11.02,0,13.15,2.56,0
108-118,0,0,0,5.42,0.46,3.04,316.89,0.94,24.34,0.62,0,0,0.61,0,0,0,0,12.62,0.74,0.45,1529.3,0,16.7,0.51,0,1.48,0,0,7.85,0,1.06,0,1.42
120,0,0,0,13.36,19.48,0,318.48,0,25.51,0,0,0,1.14,0,0,0,0,5.08,0,0,2671.43,0,29.75,0,0,3.8,0,0,22.62,0,0,0,0
