stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,1.14,0,0,5.41,0,0,0,0,1.03,14.09,0,0
 24-34,0,0,0,0,0,1.78,0,0,0,0,0,0,0,21.48,0,1.04,0,0,0,12.74,0,0
 36-46,0,0,2.83,0,0,18.74,0,0,0,0,5.99,0,0,52.52,0,0,0,1.06,0,28.65,0,0
 48-58,0,0,13.81,0,0,10.21,0,0,2.22,0,7.24,0,0,32.03,0,9.68,0,0,0,24.08,0,0
 60-70,0,0,22.94,0,0,15.73,0,0,7.95,0,25.93,2.08,1.07,45.33,0,14.99,0,0,0,21.19,0,1.76
 72-82,0,0.66,10.49,0,0,19.21,0,0,6.13,0,18.34,6.55,0,58.48,2.57,20.5,0.84,0,0,4.23,1.61,8.14
 84-94,0,0,13.02,0,0,13.48,1.31,0,11.07,0,27.32,7.4,0,28.22,0,27.89,0,0,0,3.9,0,0.74
 96-106,1.37,0.65,9.58,0.87,1.31,9.32,0,0.62,18.83,0,8.99,5.34,0,16.48,0,30.79,0,0,0,10.71,10.11,6.81
108-118,0.71,0.6,15.85,0,0,12.3,0,0,8.83,1.48,5.47,13.24,0,30.05,0,31.29,0,0.87,0,3.14,0,4.06
120,0,0,2.47,0,0,78.61,0,0,10.51,1.03,26.84,29.35,0,95.34,0,46.86,0,0,0,2.04,0,9.9
