stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,111.48,0,0,0,24.01,0,0,0,0
 14-21,0,0.83,0.98,2.04,0,0,1.6,1.25,0,0,0,7.97,0,0.85,157.42,0,0,1.53,21.52,32.88,0,3.92,0
 24-34,0,0.6,0,1.96,1.07,0.74,2.23,1.41,0.79,0.98,0.63,40.92,0,0.9,304.51,0,0,0,0.91,65.51,0,12.31,0
 36-46,0,0,0,8.55,0,1.29,31.71,0,0.84,0,0,71.46,0,4.36,428.02,2.13,0,0,0.58,71.48,0,13.65,0
 48-58,0,0.93,0,5.26,0,0,37.72,0,1.01,0,0,107.6,0,1.37,261.8,0.85,0.52,0,0,79.5,1.5,5.23,0
 60-70,0,0,0,6.66,0,4.63,21.88,0,0.58,3.19,0,169.7,0.85,2.08,162.06,3.8,0,0,0,41.95,7.27,2.54,0
 72-82,0,1.9,0,4.15,0,1.3,21.65,0,2.66,0,0,174.44,0,0.72,81.1,1.68,0,0,0,32.72,2.28,20.94,2.32
 84-94,0,0.82,0,15.49,0,7.23,11.96,0,0.82,0,0,129.84,2.75,1,60.59,2.56,0,0,0,15.08,13.45,14.65,0
 96-106,0,5.23,0,4.13,0,2.77,5.21,0,0,0,0,109.56,0,0,27.14,1.47,0,0,0.7,2.83,3.28,13.42,1.5
108-118,0,1.3,0,3.99,0,4.12,9.78,0.66,0.61,0,0,121.5,0,0.99,38.6,2.63,0,0,0,0,5.15,11.7,1.55
120,0,0,0,8.47,0,0,10.89,0,0,0,0,157.37,0,0,40.48,4.79,0,0,3.24,0,0,9.62,0
