stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,123.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.04,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.93,0,0,0,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.73,0,0,0,5.57,0,0,0,0,0,44.39,0,0,0,0,0,0,0,0,0,0,79.55,0,0,0,49.56,0,0,5.95,4.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.22,0.96,0,0,0,0,0,1.35,0,2.85,0,0,0,0,0,0,4.66,0,0,1.98,34.08,1.77,1.51,0,0,0,0,0,1.84,0.82,0,2.13,41.6,0,0,0,0,0
 24-34,0,0,0,0.93,1.21,0,12.59,0,0,0,0,0,0,0.68,0,0,0,0,0,6.19,0,0,6.63,248.82,0,34.04,6.57,0,0,0.7,0,0,0,0,0,127.21,0,0,0,0,0
 36-46,0,0,0,0,0,0,16.97,0,0,0,2.97,0,0,6.49,0,0,0.88,0,0,32.81,0,0,1.96,501.35,0,56.03,3.65,0,0,1.33,0,0,0,0,0,238.56,0,0,0.57,0,0
 48-58,0,0,0,6.04,1.54,0,89.61,0,0,0.84,7.34,0,0,0,0,0,0,0,0,110.54,0,3.96,4.3,805.75,0.56,39.51,7.73,0,0,4.84,0,0,0,0,0,226.54,0,0,0.78,0,4.13
 60-70,0,0,0,6.11,0,0,526.75,0,0,0,16.95,0,0,2.87,0.82,2.41,0,0,0,341.53,1.41,1.27,2.22,1410,3.91,52.76,18.06,0,0,0,0,0,0,0.75,0,265.48,0,6.06,2.55,0,0
 72-82,0,1.15,0,16.03,11.69,0,1001.2,0,3.4,1.43,34.29,1.24,0,1.02,1.83,3.12,2.68,1.52,0,507.48,0,9.94,3.77,1747.31,0.67,82.72,11.52,0,0,11.46,0,0,0,0,0,202.11,0,6.36,9.82,4.53,3.44
 84-94,0,2.22,0,32.09,9.92,0,677.37,0.57,0,1.88,35.51,3.03,0,2.45,7.12,1.76,0.74,0.69,0,476.05,0,5.99,7.54,1235.81,0.76,68.58,9.59,0,0,4.01,0,0,0,1.25,0,175.73,0,1.58,2.29,11.46,0
 96-106,0,2.11,0,11.75,7.2,0.6,882.06,0.68,1.62,0,45.57,2.68,0,5.11,15.54,1.27,1.91,2.13,18.61,424.35,0,1.06,7.99,1301.95,1.05,90.45,8.38,0,3.89,12.9,0,0,2.65,2.1,0,88.43,1.89,0.85,15.72,5.02,11.45
108-118,0,1.15,0,12.88,6,7.32,726.8,0,3.61,0,35.9,2.79,0,0,11.81,0,7.22,0,3.24,513.34,1.14,1.37,5.83,1485.13,0,56.6,18.35,0,5.56,3.59,0,0,1.39,3.86,0,52.03,0,8.57,6.13,12.74,0
120,0,0,0,23.29,2.39,13,831.68,8,4.03,0,84.78,8.16,0,0,20.77,3.52,0,0,0,742.98,0,11.82,5.69,3356.44,11.38,54.78,11.67,0,0,5.28,0,0,9.54,0,0,131.96,1.81,0,33.71,14.14,0
