stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.22,0,0,0,0,0,0,0,53.01,0,0,13.83,0,0,0,0
 10-12,4.22,0,0,0,0,0,0,0,0,0,0,0,34.19,13.66,0,5.67,0,11.65,0,0
 14-21,0,2.24,1.21,0,1.27,1.26,0,0,0,0,0,2.54,24.61,0,0,0.98,1.79,0,1.01,8.62
 24-34,0,3.36,0,0,1.99,2.79,0,0.64,0,2.52,0,4.22,24.51,0,1.09,0,4.72,0.94,0,2.04
 36-46,0,0,0,0,11.11,0,0,0,0,2.02,8,0,24.81,0,0,0,8.03,0,0,2.07
 48-58,0,0,0,0,7.86,0,0,0,0,0.87,0,0,2.73,0,0,0,0.69,0,0,0.86
 60-70,0,0,0,0,2.77,2.72,0,0,0,2.28,0,0,18.9,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.9,0,0.61,0,0,1.53,0,0,2.4,0,0,0,0,0,0,1.3
 84-94,0,0,0,0,0.66,0,0,0,1.46,0,0,0,5.41,0,0.63,0,1.6,0,0,0
 96-106,0,0,0,0,2.02,0,0,0,0,0,0,0.83,0.62,0,0,0,2.85,0,0,0
108-118,0,0,0,1.26,4.33,0.86,0.67,0,0,0,0,0.48,12.15,0,0,0,0.94,0,0,0
120,0,0,4.24,0,2,0,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0
