stage,glial,lateral_line,neural,otic
 48-58,0,0,0,0.69
 60-70,0,8.39,0,0
 72-82,0,4.66,2.72,0
 84-94,0,2.79,0,0
 96-106,0.8,2.52,0,0
108-118,0,0.56,0,0
120,0,4.47,0,0
