stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0,1.73,0,0,2.08,0.93,1.05,0,0.86,0,0,0,1.24,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0.59,0,0,2.32,0,5,1.29,0,3.02,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,5.66,0,0,2.01,13.17,2.9,0,0,0,0
 48-58,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0.56,0,0,10.48,0,0,0.5,0,0,0,0,0,0
 60-70,0,0,0,0,15.02,1.77,4.22,0,0,7.2,0,0,0,2.3,0,0,6.78,1.9,1.12,1.06,1.68,0,0,0,0,0
 72-82,0,0,0.96,0,4.3,0,0,0,0,41.78,0,0,0,1.35,0,0,11.48,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.57,0,9.38,0,0,0,0,0,0,3.96,0,0,0.6,0,0,2.01,0,1.45,0,0,2.41,0
 96-106,0,0,1.07,0,12.58,0,0,0.57,0,144.8,1.87,0,1.45,3.93,0,0,15.11,2.19,0,33.49,0,0,0,0,0,0
108-118,0,0.91,0.63,0,9.2,0,14.9,0,0,132.42,0,0,0,6.96,2.19,0,12.43,0.47,0.73,2.31,0,2.78,1.02,2.26,0,0.73
120,0,0,0,42.74,5.04,0,0,0,0,239.2,0,0,0,0,0,5.02,48.37,0,0,0,0,0,0,0,2.97,0
