stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,213.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.42,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.48,0,0,0,19.93,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,33.72,0,0,0,0,0,0,5.78,0,0,0,0,0,0
 14-21,0,0,1.73,3.87,2.41,0,1.75,0,0,0,0,0,0,0,0,0,0.87,0,0,0.88,1.11,0,0,13.47,21.13,0,0,0,0,0,1.67,0,0.91,0,0,4.68,8.61,0,0,0.83,0,0
 24-34,0,0,0,4.46,8.78,0,4.15,0,2.1,0,2.5,0,0,0.82,0,1.13,0,0.75,0,0,6.86,0,0,8.36,73.48,1.81,0.65,0,0,0,8.41,0,0,0,6.33,0.63,29.22,0,0,3.4,0,2.64
 36-46,0,1.03,0,1.23,0,0,12.26,0,0.87,0.61,14.93,0,0,0,0,0,0,0,0,0,9.23,0,0,3.09,97.39,0,1.82,0,0,0,14.19,0,0,0.59,0,0,36.61,0,0,1.46,0,0
 48-58,0,0,0,2.51,0,0,25.46,0,0,0.78,10.25,0,0,1.46,0,0,0,1.03,0,0.87,8.28,0,0,2.54,103.86,0,0,1.69,0,0,9.18,0,0,0,0,0,20.19,0,0,0,0,0
 60-70,0,0,0,0.57,0.74,0,56.41,0,0,0,24.36,0,0,0,0,0,0,0.74,0,0,26.78,0,5.11,1.08,102.43,0,0,2.12,0,0,8.52,0,0,0.73,0,0,23.24,0,0,0.57,0,0
 72-82,0,1.93,0,6.02,26.25,0,93.36,4.55,0,1.15,21.08,0.76,0,0,3.07,0.57,0,0,0,0,23.51,0,1.21,0,105.15,0,2.88,2.55,0,0,4.62,0,0,0,0,0,32.07,0,1.08,3.02,0,0
 84-94,0,0,0,4.22,2.83,0,52.52,0,1.22,0,8.99,1.3,1.23,0,1.59,0,0,0,0,9.19,20.73,0,0.65,6.49,127.27,0.68,7.06,3.55,0,4.36,22.49,0,0,0.56,0.57,0,7.8,0,0,10.86,0,1.11
 96-106,0,2.79,0,2.88,19.4,0,59.08,2.66,0,0.64,10.82,0.56,0,0,3.41,1.63,0.85,0.75,5.72,0,15.41,2.26,0,0.85,105.51,0,0.87,2.23,0,3.48,11.75,0,0,0,0,0,8.63,1.02,0,2.41,0.82,0
108-118,0,0,0,15.51,8.62,0.68,77.73,0,1.67,1.31,8.79,1.85,0,0,5.63,0.71,1.67,2.07,0.43,0.76,34.58,1.69,0,5.34,102.68,0,0,4.37,0,0,16.93,0,0,0,0,0,0,0,0.96,5.25,0,2.16
120,0,0,0,17.19,0,0,48.62,0,0,0,32.19,5.7,0,1.15,6.15,2.26,2.6,1.54,0,0,41.77,0,2.47,0,96.47,0,0,2.84,0,0,1.45,0,0,0,0,0,0,0,0,5.43,0,0
