stage,endoderm,epidermis,eye,hatching_gland,ionocyte,mesenchyme,neural,otic,periderm
  7-9,0,0,0,3.8,0,0,14.74,0,0
 10-12,3.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.97
 24-34,0,0,0,0,0,0,0,1.6,3.98
 36-46,0,0,0,0,0,0,0,0,2.11
 48-58,0,0,0,0,0,0,0.47,0,2.87
 60-70,0,0,1.29,0,0,0,0,0,1.35
 72-82,0,0,0,0,0,0,0,0,5.88
 84-94,0,0,0,0,0,3.51,0,0,3.56
 96-106,0,0,0,0,0.81,0,3.42,0,14.24
108-118,0,1.85,0,0,0,0,0,0,11.91
120,0,0,0,0,0,0,0,0,14.37
