stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.77,299.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,61.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.35,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,54.12,25.76,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,16.85,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,79.08,256.53,0,0,22.07,0,0,0,0,5.27,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,5.75,1.89,0,15.35,0,0,0,1.31,0,0,0,0,0,0,0,0,2.03,4.59,0,5.86,25.19,192.38,0,0.89,0,0,1.04,1.16,3.9,0,0,12.06,126.59,0,0,8.19,0,0
 24-34,0,0,0,3.8,1.34,0,26.65,0,1.46,12.33,8.95,0,0,0.82,2.26,0,0,0,2.2,2.16,12.47,0,18.82,561.2,20.05,1.22,0,0,0,2.79,0,0,5.23,4.15,12.73,184.58,0,0,40.39,0,4.01
 36-46,0,0,0,2.69,0,0,56.22,7.1,5.32,48.41,75.27,0,0,0.87,0,0,0,0,0,21.64,37.67,1.94,32.88,1864.3,26.75,3.23,0,0,0,0,0,0,1.6,0,0,367.18,0,0,64.55,0,25.62
 48-58,0,0,0,16.64,0,0,625.98,4.22,1.07,72.93,153.9,0,0.54,0,0.83,0,0,1.42,0,6.59,44.62,1.62,20,3330.4,12.08,1.45,0.97,0,0,0.95,0,0,1.95,10.01,0,493.44,0,0.85,17.69,0,28.23
 60-70,0,0,0,1,0,0,1856.71,10.3,2.32,64.46,373.15,0.62,0,0.95,16.24,0,7.43,0,5.16,12.53,124.03,1.78,15.98,4438.56,8.7,12.6,8.37,0,2.41,1.82,0,0,1.88,0,0,530.5,0,1.32,22.38,0,21.54
 72-82,0,0,1.18,28.7,6.2,0,1657.88,8.67,0,67.19,465.53,1.66,0,0,19.67,0,0,0,7,4.24,121.94,6.12,21.28,3525.21,2.42,3.36,2.17,0,7.57,3.41,0,0,4.64,3.75,0,262.3,0,7.85,45.22,4.78,28.34
 84-94,0,0,1.01,11.44,0.79,1.48,1105.43,3.64,0.56,62.28,392.04,2.78,0,0,16.72,0,4.06,0.73,0.68,3.38,82.76,6.42,9.53,2417.6,4.29,4.28,11.8,0,6.94,1.68,0,0,0.64,0,0,249.84,0.9,3.12,50.52,14.61,26.36
 96-106,0,0,1.41,8.9,4.81,0,759.14,3.79,0,57.17,350.16,2.76,0,1,20.01,0,1.5,1.01,1.26,1.65,94.35,19.47,6.4,1940.16,4.11,1.81,3.59,0,13.91,7.55,0,0,0.73,0,0,111.03,1.64,6.62,37.14,12.06,45.14
108-118,0,0,1.15,14.08,0.92,0,746.9,3.12,1.74,33.88,290.78,0,0,0.49,15.59,1.82,2.59,0,4.07,1.73,110.53,8.45,10.57,2275.05,9.65,4.45,4.35,0,9.88,5.29,0,0,0.94,1.59,0,74.87,1.01,0.75,34.33,12.04,16.7
120,0,0,0,47.84,0,0,726.01,0,0,50.58,461.32,2.35,0,0,23.16,1.65,17.36,0,0,0,135.87,5.9,6.73,3278.13,5.39,0,14.45,0,2.03,9.72,2.5,0,5.71,0,0,123.04,0,2.68,67.21,3.03,0
