stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.04,57.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.35,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.63,7.25,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.03,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.49,0,0,0,0,0,0,1.45,0,0,7.01,0,0,0,0,0
 24-34,0,0,0,0,4.61,0.81,0,11.07,0,0,0,1.24,0,0,0,0,0,0,0,0,0,2.67,0,0,1.68,2454.03,0,4.93,0,0,0,0.69,0,0,0,64.09,0,0,0,0,0
 36-46,0,0,0,0,2.15,0,0,101.51,0,0,0,8.28,0,0,0,0,0,0,0,0,0,3.44,0,0,2.12,6549.04,0,14.16,1.09,0,0,3.23,0,4.36,0,201.76,0,0,0.69,0,0.97
 48-58,0,0,0,0,52.4,15.35,0,1042.63,0.88,20,8.2,223.37,4.06,5.14,0.48,0.68,0.85,10.59,0.79,0,11.64,73.01,0,7.66,10.16,13782.72,13.39,36.8,0.39,0,0,11.29,0,0.53,0.86,577.31,0,0,4.5,0,20.99
 60-70,0,0,0.91,0,33.42,4.37,0,2497.34,3.37,3.43,2.54,351.26,0,0.66,0.84,28.23,0,16.29,5.04,6.23,18.55,121.79,0,22.8,15.46,26913.32,21.03,26.19,12.77,0,1.9,55.35,0,3.09,2.68,1263.82,0,1.15,22.29,0.89,32.55
 72-82,0,0,2.03,0,114.4,25.32,0,2662.53,1.45,14.78,24.86,237.22,6.29,0,4.04,6.86,0,14.49,0.72,3.82,14.96,152.54,0.73,9.35,9.98,20699.89,0,58.46,7.3,0,2.83,7.13,0,0,8.92,941.21,0,2.72,20.76,1.62,44.37
 84-94,0,0,1.29,1.01,96.64,17.5,0,2150.14,2.29,7.64,1.38,218.99,2.89,0,2.6,11.4,0.69,13.98,3.75,6.71,2.56,124.95,0.74,18.98,3.84,13551.14,0,77.74,1.53,0,0,22.22,0,1.17,0.64,745.99,0.9,7.1,19.13,2.55,15.33
 96-106,0,0,2.34,1.61,73.75,39.8,0,1209.26,1.19,8.97,0,149.92,3.16,0,0,7.76,1.9,4.42,0,30.35,0,88.51,0,2.05,1.26,9099.57,1.25,42.87,1.66,0,1.51,21.35,0,2.87,0,243.91,3.39,0,16.56,3.99,12.22
108-118,0,0,0,0,121.31,2.96,2.73,1445.4,1.13,0.94,0.53,143,9.08,0,3.23,2.63,1.08,3.75,0.52,0,0,100.58,0,6.81,3.51,13043.9,1.07,36.81,22.27,0,5.87,12.71,0,0.45,0,271.34,0.89,3.85,9.09,11.89,5.02
120,2.82,0,0,0,172.41,39.81,3.69,3321.03,0,4.53,19.42,325.26,5.82,0,0,28.12,0,6.44,3.38,27.84,0,228.01,0,0,23.45,31016.09,3.77,148.49,15.06,0,11.05,25.34,0,6.55,0,519.67,0,6.45,24.25,3.44,14.25
