stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.6,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,12.45,0,42.68,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,22.45,7.65,0,29.09,0,0,0,0,0,0,0,0
 14-21,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
 24-34,0,0,2.84,0.76,0.68,0,0,0,0,0,8.47,0,0,0,0,0,0.74,0,0.63,5.35,0,0,0,0,0,0,1.26,0,0,0,0
 36-46,0,0,1.64,1.88,0,0,3.6,0,1.25,0,30.24,0,0,0,0,0,7.81,0,0.61,3.29,2.79,0,0,0,3.44,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.12,0,0,0,58.69,0,0,0,0,0,2.84,1.12,0,15.89,0,0,0,0,0,0,2.89,0,0,0,0
 60-70,0,0,5.53,0,0,0,7.79,0.65,0,6.96,124.54,0,0,0,0,0,20.31,3.91,0,32.3,0,0,0,0,0,0,0.84,0,0,0,0
 72-82,0,0,50.72,0,0.51,0,17.76,0,0,1.64,221.64,0,0,0,2.2,0,0,6.54,0,47.63,0,0,0,0,0,0,5.79,0,0,0,0
 84-94,0,0,42.65,0,4.61,0,18.78,2.3,0,0,372.32,0,0.8,0,0,0.62,1.49,10.37,1.83,14.17,0,1.39,0,0,0,0,6.49,0,3.45,1.24,0
 96-106,0,0,34.64,0,7.31,0,1.42,0,0,2.52,317.76,0,0.61,0,0.95,0,17.85,5.93,0,53.32,0,0,0,0,0.81,0,5.46,0,0.74,0,0.8
108-118,0,0,20.34,0,0,3.33,10.54,0.74,3.23,4.36,240.06,0,0,1.11,0.83,0,4.53,1.32,0,30.5,0.47,0,0,0,2.77,0,0,0.54,1.69,0,0
120,0,0,31.64,0,7.08,0,40.58,0,0,0,276.27,0,0,0,0,0,19.08,10.05,0,40.34,0,0,0,19.49,0,0,0,0,0,0,0
