stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.21,306.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0
  5-6,19.87,221.99,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0
 10-12,0,9.09,0,0,0,0,0,0,0,3.73,0,0,0,45.51,0,0,0,0,0,0,0
 14-21,0,0,1,0,0.88,0,0,0,0,0,1.12,0,0.95,7.93,0,0,0,0,3.4,0,0
 24-34,0,0,0,0,1.52,0.81,0.59,0,0,0,0,0,0,14.47,0,0,0.71,0,0,0,0
 36-46,0,0,0,0,1.67,0,0.77,0,0,0,2.66,0,0,13.37,0,0,0,0,8.12,0,0
 48-58,0,0,0.49,0,20.2,0,0,5.88,0,0,2.46,0,0,30.14,0,0,0,0,2.04,0,0
 60-70,0,0,1.42,0,94.53,0,0,0,0,0,3.21,0,0,40.99,0,0,0,0,7.58,0,0
 72-82,0,0,0,0.56,154.62,2.74,0,0,0.89,0,1.54,0,0,20.28,1.65,3.59,0,0,2.09,0,0
 84-94,0,0,0.68,0,103.89,5.35,0,0,0,0,1.56,0,0,31.04,0,0,0,0,5.27,0,3.02
 96-106,0,0,0.86,0,85.34,0.91,0,0,1.1,0,1.41,1.7,0,13.36,0,0,1.31,3.02,0,0,0.83
108-118,0,0,1.74,0,75.41,0,0,0,0,0,0,1.79,0.9,16.99,0.55,0,0,0,0,3.42,0.65
120,0,0,0,0,121.22,5.73,0,0,0,0,1.7,0,0,116.79,0,0,0,0,0,0,0
