stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature
  3-4,0,116.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.36,159.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.86,0,0,0,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,155.52,6.39,0,0,74.03,0,0,0,0,0,0
 10-12,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.22,0,0,0,45.61,0,0,0,4.47,0,0
 14-21,0,0,0,0,3.76,0,0,1.88,0,0,0,1.01,0,0,0,0,0,0,0,0,0.9,18.52,0,0,0,0.99,0,0,3.9,3.91,0,1.73
 24-34,0,0,0,0,0,0,0,5.68,0,0,0.61,0,0,0,0,0,0,0,2.43,0,1.92,31.89,0.62,0,0,0,0,3.39,0,4.28,0,0
 36-46,0,0,0,0,0,0,0,5.78,0,1.24,0,1.78,0,0,0,0,0,0,1.16,0.74,2.12,17.2,0,0.59,0,0,0,8.41,0,2.26,0,2.3
 48-58,0,0,0,0,1.08,0,0,14.02,0,0,0,1.82,0,0,0,0,0,0.5,6.27,0,0.6,17.16,0,0,0,0,0.39,0,0,4.04,0,0
 60-70,0,0,0,0,0.77,0,0,12.77,0.96,0,0,1.18,0,0,0,0,0,0,4.87,0,0.78,19.47,0,0,1.82,0,0,4.27,0,2.57,0,2.65
 72-82,0,0,0,0,2.1,5.38,0,16.72,0,0,0,4.9,0.99,0,0,0,0,0,11.1,0,0,17.36,1.85,0.53,0,0,0,3.39,0,1.84,0,1.94
 84-94,0,0,0,0,0,1.05,0,4,0,0,0,2.87,0.82,0,0.56,0,0,0,3.55,3.37,0,6.79,0,1.8,0,0,0,3.59,0,0,0,1.8
 96-106,0,0,0,0,2.98,4.36,0,16.74,0,0,0,5.02,0,0.61,0,0.79,0,0,10.87,0,3.92,18.36,0,4.89,0,0,0,3.56,0,0,0,0.65
108-118,0,0,0.95,0,0,9.42,0.47,6.5,0,0,1.38,0.68,0,0,0,0,0.73,0,17.81,0,0.87,15.8,0,0.42,0,0,0,1.26,0,1.08,0,0
120,0,0,0,0,7.02,13.56,0,5.45,1.18,0,0,0,0,0,0,0,0,0,4.31,0,0,30.5,0,0,0,0,0,5.27,0,0,2.31,0
