stage,fast_muscle,neural,presomitic_mesoderm,slow_muscle
  7-9,0,8.9,0,0
 14-21,0,0,1.28,0
 24-34,0,0.93,0,0.76
 36-46,2.44,0,0,0
 48-58,0,4.35,0,0
 60-70,0,0.97,0,0
