stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,muscle,neural,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.17,0,0,0,0
 24-34,0,0,0,0,0,0,14.65,0,0,1.53,0,0,0
 36-46,0,0,0,0,0,0,29.56,0,0,2.14,0,0.81,0.73
 48-58,0,0,0,0,0,0,58.83,0,0,7.64,0,0,2.18
 60-70,0,0,0,0,0,0,70.55,7.8,0,2.98,0,3.41,7.68
 72-82,0.49,3.99,8.72,1.29,0.65,0,68.52,40.61,0,21.05,0,8.14,7.06
 84-94,0.64,0,5.57,0,1.5,0,121.85,12.81,0,8.55,0,5.83,2.56
 96-106,0,0,2.06,0,2.52,0,112.12,23.23,0,2.97,0.71,0,14.7
108-118,0.85,4.94,2.26,0,3.07,1.18,97.55,30.47,0,27.15,0,0,2.16
120,0,0,0,0,0,0,119.5,20.47,0,31.59,0,0,0
