stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle
  3-4,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,7.15,0,0,8.54,0
 24-34,0,0,0,3.67,0,0,0,0,0.71,0,0,93.59,0,0,46.09,0
 36-46,0,0,0,0.89,2.36,0,0,0,0.87,0,0,142.85,1.1,0,25.56,0
 48-58,0,2.7,0,6.23,0.77,0,0,0,4.18,0,0,183.1,0,0,20.02,0
 60-70,0,0,0,29.15,1.6,0,1,0,3.5,1.12,1.14,244.03,0,1.03,19.69,0
 72-82,0,0,0,39.86,11.15,0,0,0,1.23,0,0,382.5,0,0,7.48,0
 84-94,0,0.56,0,47.59,3.53,0,0,0,1.03,0.72,0,255.15,2.35,0,6.67,1.07
 96-106,0,1.27,0,32.64,3.59,1.38,0,9.42,4.37,1.38,0,286.91,0,0,0,0
108-118,0,1.42,0,12.82,1.52,0,0,0,5.97,0,0,255.81,0,0,0,0
120,0,0,0,0,16.72,0,0,0,0,0,0,239.54,2,0,21.79,1.32
