stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.44,0,0,0,13.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.13,0,0,0,0,0,80.86,0,0,0,0,0,0,0,0,0,0,0,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.93,1.09,0,2.15,0,0,0,0,0,42.33,1.34,0,2.71,0,0,0,0,4.94,0,0,0,31.14,0,0,1.65,0,0,3.34,0,0,1.07,6.9,0,0,0,0,0
 24-34,0,0,0,1.43,0,0,18.14,0,0,0,0,0,0,0,0,0,0,0,0,4.27,1.28,0,0,0,33.32,0,0,0,0,0,0,1.62,0,0,3.67,0,0,0,0,0
 36-46,0,0,0,0.59,0,0,90.89,0,0,0,0.68,0,0,0,0,0,0,0,0,0,2.79,0,0,0,36.82,0,0,0,0,0,1.63,0,0,0,7.22,0,0,0,0,0
 48-58,0,0,0,2.84,0,0,377.53,0,0,0,2.93,0,0,0,0,0,0,0,0,4.98,4.2,0,0,2.79,36.3,5.13,1.08,0.44,0,0,0,0,0,0,5.89,0,0,0,0,0
 60-70,0,0,0,0,0,0,2367.97,0,0,0,1.75,0,0,0,3.2,0,0,0,0,0,5.3,0,1.28,0,49.25,0,0,1.12,0,0,2.45,0,0,0,5.34,0,0.82,0,0,0
 72-82,0,0.69,0,12.07,9.76,0,4026.34,0,0.55,0,10.49,0,0,0,5.76,0,0,0,0,2.32,18.88,0,0,2,99.29,0,2.35,0.69,0,0,9.48,1.23,0,0,15.91,0,0,6.61,0.56,10.38
 84-94,0,1.26,1,15.18,0,0,4589.18,0,0,0,8.24,0,0,0,9.72,0,0.83,1.05,0,0,12.88,2.96,0,0.68,57.92,0.76,1.05,0,0,0.83,6.75,0,0,0,7.03,2.63,0.89,2.59,0,0
 96-106,0,0,0,20.08,4.53,0,5410.41,5.93,12.27,1.8,19.88,0,0,0,1.73,1.78,3.47,0,13.09,0,33.19,3.23,0.93,1.81,108.97,0,0.87,1.82,0,1.67,5.87,1.06,3.28,0,0,0,0.78,0,0.93,8.85
108-118,0,0,0,13.19,16.08,1.32,4437.19,0.44,0,5.67,9.02,4.44,0,0,2.86,0,0,6.99,3.24,0,44.89,0,2.23,2.45,120.94,0,2.52,1.3,0,0,9.21,0,0,0,4.15,4.38,1.53,2.87,0,8.24
120,0,0,0,8.22,6.82,0,4817.23,2.98,0,0,9.46,4.89,0,0,0,1.48,0,0,0,0,19.99,0,0,0,119.75,1.62,0,7.93,0,0,4.52,0,0,0,0,0,0,2.66,0,3.15
