stage,erythrocytes,eye,heart,neural,olfactory,vasculature
 24-34,0,0,0,4.12,1.13,0
 60-70,0,0,0.88,0,0,21.62
 72-82,0,1.54,0,0,0.91,0
108-118,0,0,0,0,0,4.07
120,9.24,0,0,0,0,0
