stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,187.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.88,301.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,17.19,0,18.71,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,12.84,0,4.17,0,0,0,25.53,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0,0,259.22,4.97,0,0,62.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,0,0,0,0,37.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.86,0,0,0,26.65,0,0,0,10.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.54,0,0,0,0,0.87,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0.86,30,0,0,0,1.33,0,1.88,3.47,0,27.08,2.31,8.61,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.75,0,0,0,4.6,0,0,0,0,0,0,12.84,0,6.26,0,0,4.41,83.76,0,0,0,0,0,0,0,0,9.26,0,43.06,0,0,8.32,0,0
 36-46,0,0,0,0,0,0,0,6.21,0,0,1.25,1.36,0,0,0,1.64,0,0,5.06,0,5.75,0,0,0,85.43,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,27.37,0,0,0,7.01,0,0,0,1.44,0,0,3.78,0.74,12.07,0,0,1.11,85.72,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,13.6,0,0,0.72,2.74,0,0,1.03,0,0,0,8.77,0,1.76,0,0,0,20.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.56,0,2.16,9.61,0,33.39,0,0,0,7.93,2.04,0,0,4.1,0,0,615.61,0,25.81,0.55,0,0,103.54,0,0.56,2.56,0,5.49,0,0,0,0,0,1.35,0.97,2.38,9.99,0,0
 84-94,0,0,0,0,5.16,15.66,0,38.09,0,0,0,18.76,4.39,0,3.86,3.51,0,0,4825.31,0,24.07,1.39,9.75,4.86,159.22,2.29,0.71,0.64,0,0,9,0,0,0,0,22.07,2.26,0,5.01,0.98,6.53
 96-106,0,0,0,0,37.3,31.87,1.2,226.24,2.45,4.34,3.06,32.34,24.29,0,10.35,2.87,0.71,0.88,6718.51,2.99,76.49,12.59,5.82,2.12,733.4,0.7,1.52,7.14,0,7.17,43.7,0,0,9.08,0,3.91,1.88,5.29,6.14,14.59,0
108-118,0,0,0,0,27.48,37.67,11.66,207.36,16.74,3.1,18.01,52.15,6.45,0,4.79,2.08,5.33,0,19578.59,6.2,97.93,3.53,3.85,10.61,696.4,1.52,7.31,1.19,0,7.37,41.67,0,8.36,0.98,0,32.11,6.86,5.4,9.86,0.65,9.44
120,0,0,0,0,23.59,1.06,0,105.77,0,7.23,1.44,44.7,7.43,0,5.71,0,10.44,0,6740.7,0,37.74,12.14,0,2.43,383.4,0,2.34,0,0,0,8.77,0,0,0,0,12.13,0,2.55,20.87,7.28,0
