stage,axial,blastomeres,epidermis,eye,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26,45.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,150.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,0,0,0,0,0,0,28.02,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.45,0,0,12.58,0,0,0
 14-21,0,0,0,0,0,0,0,0,10.46,0,0,0.91,0,0.9,0
 24-34,0,0,7.5,1.76,0,0,1.7,0,11.35,0,0.67,0,0,3.98,0
 36-46,0,0,0,7.73,0,0,0.62,0,26.78,0,0,0,1.95,2.15,0
 48-58,0,0,2.5,6.12,0,3.38,1.98,0,8.72,0,0,0,0,0,0
 60-70,0,0,2.96,1.97,0,0,2.45,0,9.87,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.7,1.04,6.57,2.89,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.44,0,3.31,0,0,0,0,0,0
108-118,0,0,0,0.8,0,0,0,0,7.17,0,3.57,0,0,0,0.64
120,0,0,0,0,5.93,0,0,0,5.2,0,0,0,0,0,0
