stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.94,509.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74,0,0,0,0,0,0,0
  5-6,14.75,193.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,3.98,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,23.65,1.24,0,2.2,0,0,0.88,4.58,0,0,0,0,0
 24-34,0,0,1.25,0,0,39.99,0,0,1,0,0,0,1.01,0,0,0,2.5,3,0,0,97.38,0,0,21.95,0,8.15,0,9.99,0,0,0,0,0
 36-46,0,0,0,0,0,235.13,0,0,0,0,0,0,0.62,0,0,0,1.67,0.59,0,0,258.65,0.55,1.47,26.62,0,8.05,0,31.84,0,0,1.52,0,0
 48-58,0,0,0,0,0,303.63,1.11,0,10.91,0,0,0,1.03,0,0,0,1.9,9.59,5.54,1.63,387.14,0,0.78,50.06,0,0.63,0,42.36,0,0,0,0,0
 60-70,0,0,1.5,0,0,441.92,0,1.34,14.19,0,0,0,11.6,0,0,0,0.81,9.73,0,0.68,400.47,0,4.76,86.26,0,0,0,35.56,0,0,0,0,0
 72-82,0,0,2.73,2.39,0,328.21,0,0,8.6,2.1,0,1.72,2.81,0,0,7.11,12.84,20.96,0.51,1.38,356.94,0,1.34,117.68,0,6.76,0,20.95,0,1.63,0,0.5,0
 84-94,0,0,4.21,1.77,0,246.36,0,0,5.12,3.8,0,0,5.14,0,0,0,10.79,14.21,0,0,269.28,1.08,1.66,137.59,0,1.79,0,22.86,0,0,0,3.9,0
 96-106,0,0,3.43,0,0,302.11,0,0.66,16.99,8.49,0,0,6.64,0.85,0.58,3.35,8.59,21.15,0,2.03,215.36,0,1.45,149.29,2.9,2.34,0,6.01,0,1.03,0,3.52,0
108-118,0,0,9.17,0,1.14,356.17,0,0,13.38,7.8,0,0,13.45,1.96,0,0,11.04,21.79,0,3.54,272.2,0.43,0,127.1,0,1.5,0,17.02,0.68,0.67,0,2.21,0.95
120,1.12,0,3.51,0,0,270.71,0,0,11.96,19.87,0,0,14.28,0,1.74,0,17.89,17.01,0,0,553.63,1.1,0,177.22,0,2.24,0,17.37,0,0,0,0,0
