stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.58,800.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0
  5-6,9.47,235.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.57,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,22.28,0,12.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.7,1.07,0.84,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,4.11,0,0,0,0,1.46,2.09,3.14,0,0,0,0,0
 24-34,0,0,1.52,0,3.11,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0.87,106.16,0.64,68.71,0,0,1.54,0,0,0,60.51,0,0,0,0,0
 36-46,0,0,0,0,8.2,0,29.34,0,0.67,0,0,0,0,0,0,1.29,0,0,0,241.13,0,144.47,0,0,12.71,0.81,0,0,144.57,0,0,0,0,0
 48-58,0,0,0,0,0.38,0,67.43,0,1.15,0,0,0,0,0,0,1.73,0,0,0,513.56,0,113.87,0.49,0,0,0,0,0,154.68,0,0,0.49,0,2.94
 60-70,0,0,0.7,0,4.53,0,348.79,0,14.76,0,0,0,0,0,0,5.75,0,0,6.16,872.28,0,145.68,0,0,0,0,0,0,243.25,0,0,1.15,0,0
 72-82,0,0,0.86,0,3.65,0,713.3,3.29,16.92,0,0,0,2.21,0,0,21.08,0,0,0.79,1007.31,0,201.11,1.57,0,1.96,0,0,0,297.62,1.86,0,1.66,0,0
 84-94,0,0,1.16,0,7.24,1.06,516.57,0,10.88,0.6,0.88,0,0.95,0,0,21.56,0,0.86,0.74,658.09,0,163.86,4.47,0,7.06,0,0,0,173.96,9.69,2.19,0,0,0
 96-106,0,0,0,0,6.04,4,801.82,0,15.36,0,0,2.2,1,0.57,0,16.15,0,0,0.69,429.46,0,220.32,0,0,2.43,0,0,0,80.94,6.54,0,0,0,3.35
108-118,0,0,0,0,4.27,0,619.63,3.44,16.09,0,0,1.55,0,0,1.77,14.35,0.53,0,2.4,625.76,0.48,172.17,0,0,2.53,0,0,0,47.22,5.31,0.69,0,0.72,0
120,0,0,0,0,2.21,0,369.91,1.56,7.99,0,0,0,0,6.33,0,9.62,0,0,0,616.05,0,193.1,1.66,0,0,0,0,0,55.75,9.47,0,12.8,0,0
