stage,eye,mesenchyme,neural,notochord,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0.95,0,0,0
 24-34,0,0,1.32,0,0,0
 36-46,0,0,1.9,0,0,0
 48-58,0,0,1.66,0,0,0
 60-70,2.06,0,17.3,0,0,0
 72-82,14.91,0.98,1.03,0,0,0.76
 84-94,6.41,0,4.79,0,4.33,0
108-118,1.07,0,4.81,0,0,0
120,0,0,0,1.62,0,0
