stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.06,265.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,291.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,31.54,10.87,0,0,31.93,0,0,0,18.76,0,0,0,0,0,0,192.2,21.32,0,0,87.4,0,0,0,0,0,0,0,0
 10-12,0,0,10.24,0,0,25.02,0,0,0,11.46,0,0,0,0,0,0,356.76,52.54,0,0,218.81,0,8.73,7.27,7.71,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.99,0,0,0,4.65,0,0,0,30.89,0,0,0,1.82,2.42,0.97,0,0.89,18.99,0,0,0
 24-34,0,0,0,0,0,3.4,0,0,0,0,0,0,5.14,0,0,7.45,64.37,0,0,0.69,0,4.46,0,0,0.78,10.63,3.27,0,0
 36-46,0,0,0,0,0,16.21,0,0,0,0,0,0,7.53,0,0,0,99.01,0,0,0,0,0.64,0,0,0,26.21,0.9,0,0
 48-58,0,0,0,0,0,14.67,0,2.38,0,0,0,5.68,5.9,0,0,0.63,94.7,0,0.42,0,0,2.99,0,0,0,23.58,0,0,0.54
 60-70,0,0,0,0,0,27.56,1.13,0.69,0,0,0,0,4.44,2.18,0.65,0.97,110.95,0,0,0,0,0,0,0,0,21.06,0.71,0,0.69
 72-82,0,0,0,1.04,0,16.42,0,3.91,0,0,0,0,8.15,0,0.81,0,87.63,0,0,0,0,0,0,0,0,2.4,0,0,0.55
 84-94,0,0,0,3.6,0,31.12,2.45,6.28,0.64,0,2.49,0,4.58,1.34,0,0.98,74.92,0,0,0,0,1.05,0,0,0,4.72,0,2.24,2.4
 96-106,0,0,0,1.76,0,12.9,0,7.75,0,0,0,0.56,4.85,0,0,0.66,30.62,0,0,0,0,0.98,0,0,0,0,0,0,0
108-118,0,0,0,2.88,4.22,14.47,0,1.7,1.49,0,0,0,13.32,0,0,1.15,55.62,0,1.19,0,0,1.34,0,0,0,0,0,0,0
120,0,0,0,1.08,0,15.57,0,7.72,0,0,1,0,2.38,0,2.22,0,83.28,0,0,0,0,0,0,0,0,5.61,0,0,0
