stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,148.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,0,0,26.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.25,0,13.33,0,0,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2,11.52,0,0,33.29,0,35.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.32,0,0,0,3.97,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,266.39,0,0,0,67.58,0,10.4,17.01,4.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.56,166.02,2.46,0,13.11,0,0,0,0,0.85,0,0,0,8.85,0,0,0,0.85,16.72,1.17,0,9.13,209.69,2.32,0,8.3,0.99,0,33.19,0,8.8,0.98,0,17.36,40.79,0,0,0,0,0
 24-34,0,2.51,0.7,175,1.94,0,10.8,0.6,7.67,0,1.69,0.67,0,0,1.42,10.49,0,11.09,0.61,0,67.67,12.66,0,19.38,811.55,6.11,2.09,12.31,0,0.99,109.66,0,0,11.92,0,1.3,246.12,0,0,5.46,0,1.22
 36-46,0,0,0,120.59,0.66,0,25.71,0,15.63,2.92,13.59,1.85,7.36,0.88,0.63,13.78,2.34,10.62,0,0.79,80.59,10.36,0.98,18.92,2139.13,1.05,0.56,7.85,0,0,193.99,0,0,16.4,0,0,361.32,0,0,10.6,0,1.41
 48-58,0,0.4,0,84.47,1.56,0,334.6,0,25.61,0.81,57.46,4.61,4.44,0,1.22,4.5,1.12,12.77,6.87,0.54,62.07,9.2,2.49,8.25,3419.75,8.52,6.96,6,0,0,74.54,0,0,15.02,0,0,510.99,0,0,0.76,0,4.8
 60-70,0,0,0,120.28,0,0,1728.02,1,30.5,1.21,71.39,9.19,14.83,0.9,0.76,3.67,7.43,26.42,6.19,1.94,67.68,14.03,6.16,7.7,5120.39,0.93,0,19.66,0,0,141.8,0,0,11.57,3.87,0,618.95,0.65,2.55,1.51,2.98,8.7
 72-82,0,0.76,0.56,124.18,5.94,0,2303.26,0,24.15,6.14,156.33,15.12,0.99,2.28,13.86,10.11,2.15,29.38,19.3,0,160.37,14.13,10.67,22.6,5900.33,1.06,11.33,15.71,0,2.8,91.21,0,0,11.31,0,0,503.64,13.57,2.15,10.28,4.72,9.74
 84-94,0,0.94,0,172.92,8.56,0,1690.6,7.04,40.48,6.43,156.95,27.32,9.66,0,2.93,18.54,1.54,20.29,1.51,11.38,133.92,25.37,11.38,3.14,3776.59,2.3,7.33,24.54,0,3.75,225.84,0,0,15.48,0,0,385.79,17.97,6.02,6.64,7.78,0
 96-106,0,0.81,2.13,174.57,28.68,0,1375.51,0,39.68,17.59,195.25,24.32,0,0,7.08,16.12,6.98,25.97,6.7,0,69.95,19.46,9.81,5.85,3379.28,2.22,8.94,19,0,0,192.65,0,0,14.52,0,0,143.81,33.51,1.48,0,2.6,0.9
108-118,0,0,1.18,264.21,2.22,6.12,1242.42,1.53,74.19,3.42,229.92,34.8,0,0,2.24,13.83,0.73,22.28,6.27,0,65.67,44.39,5.9,7.18,3926.24,2.83,7.3,35.83,0,1.67,192.47,0,0,18.34,0.87,0,107.33,41.05,0,5.79,2.64,1.14
120,0,0,0,409.68,0,27.01,1151.51,0,54.42,17.45,382.38,56.59,0,0,14.95,31.72,17.47,24.28,0,0,75.98,18.15,21.98,12.9,6816.97,6.85,19.82,45.87,0,0,194.58,0,0,13.1,0,0,361.12,24.93,0,8.08,0,4.37
