stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,34.65,141.28,0,0,0,0,0,0,25.43,0
  5-6,34.16,123.08,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.42,0,64.24,3.34,29.78,0,0
 10-12,0,0,28.14,0,17.25,99.41,0,8.78,0,5.09
