stage,epidermis,mesenchyme,neural,periderm
 24-34,0.85,0,0,0
 72-82,0,0,0,0.58
 84-94,0,1.49,0.86,0
 96-106,0.98,0,3.91,1.14
108-118,0.93,0,0,0.44
