stage,axial,blastomeres,endoderm,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,7.94,3.91,0,27.26,0,0,0,0,118.56,0,0,17.42,0,0,0
 10-12,0,0,4.27,0,5.19,0,0,0,0,76.18,8.87,0,8.13,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,4.04,0,0,0,1.88,9.02,1.67
 24-34,0,0,0,0,0,0,1.05,1.23,0,11.39,0,0.68,0,0,3.28,2.36
 36-46,0,0,0,0,0.63,0,0,0,0.66,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.46,0,1.09,0,2.04,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.21,0.63,0,0,0,7.11,0,0,0,0,0,0
 72-82,0,0,0,0,1.36,2.36,0,0,4.52,4.28,0,0,0,0,0,0
 84-94,0,0,0,0,0.91,1.82,1.12,0,1.64,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3,2.14,0,0.8,4.85,0,0,0,0,0,0
108-118,0,0,0,0,0,0.54,0,0,1.66,1.87,0,0,0,0,0,0
120,0,0,0,0,0,0,1.07,0,5.76,0,0,0,0,0,0,0
