stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,13.35,581.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,207.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0
  7-9,4.71,18.31,0,5.79,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,111.33,9.04,0,54.71,0,4.3,0,0,0,0
 10-12,0,26.62,0,6.86,0,0,33.49,0,0,0,3.61,0,0,0,0,0,0,0,0,174.15,0,0,34.01,0,0,4.75,0,0,0
 14-21,0,0,0,0,1.45,1.8,1.78,0,0,0,0,0,0,0,0,0,4.03,0,1.97,46.55,1.4,1.07,0,0,0,6.83,8.81,0,0
 24-34,0,0,0,0,0,0,8.88,0,0,0,0,1.45,0.71,0,0.64,0,6.6,0,3.05,75.82,0,0.63,0,1.26,0,0,4.95,3.04,0
 36-46,0,0,0,0,0,0,3.65,0,1.1,0,0,0,0,0,0,0,7.13,0.8,1.14,23.19,0,0,0,5.99,0,0,29.44,0.76,0
 48-58,0,0,0,0,0,0,11.93,0,1.25,0,0,0,0.45,0.52,0,0,5.65,1.81,0,10.77,0,0,0,0,0,0,0.66,0,0
 60-70,0,0,0,0,0.79,0,2.57,1.38,0,0,0,0,0,0,0,0,1.37,1.84,0,4.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,6.5,0,0,7.14,0,0,0,0,0,0,0.92,0,3.22
 84-94,0,0,0,0,0,0.6,1.19,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0
 96-106,0,0,0.56,0,0,0,0.58,0,1.34,0,0,0,0,0,0,4.95,2.1,0,0,2.38,0,0,0,0,0,0,0,0.65,0
108-118,0,0,0,0,0,0,1.26,0,2.37,0.62,0,0,0,0,0,0,0.48,0,1.32,2.47,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,10.15,0,13.06,0,0,0,0,0,0,0,0,0,0,23.74,0,0,0,0,0,0,1.57,0,0
